lipid,transition,type,1A,2A,3A,4A,5A,1B,2B,3B,4B,1C,2C,3C,4C,5C,1D,2D,3D,4D,5D,1E,2E,3E,4E,5E,SolventBlank
C12:0,199.2 -> 199.2,FFA,408958.89025874,420683.43103029,437496.67150871,478314.45263669,466721.49291989,463781.99230953,448661.33056644,455748.97119142,449431.092041,511892.99548339,521721.81762695,465634.79284667,479085.19396974,470754.57373048,461492.71191409,464924.7131348,456794.71191404,519316.116821255,446806.113220227,447545.711914039,450844.251770039,439178.093200622,451819.872497563,526054.33905038,404439.710083036
C12:1,197.2 -> 197.2,FFA,440253.99084468,432929.66979976,439418.31140139,460222.25231932,429409.471618554,393755.90856924,392528.148498528,399822.08911123,386332.04650877,936342.62524417,679934.448730559,392033.84729009,359676.34460437,374286.64770502,378703.06604008,379199.08709718,358790.0440674,375533.807159448,389238.007629409,363743.586334171,366521.905883708,359433.365539436,354132.783203063,379925.086883453,430924.37036127
C14:0,227.3 -> 227.3,FFA,748450.17309577,801545.997192329,762752.55480942,736171.43530263,796403.75610353,740607.451782231,788722.49499509,788896.317382819,831651.0804445,1021213.39868144,884890.88354491,754930.89172358,708583.66687008,811701.897949151,760915.410766589,835555.89843752,789978.35949687,902653.827514714,947689.90820309,817771.800109654,906810.808441318,783453.953124846,798150.35992432,789381.997924704,625245.34619145
C14:1,225.2 -> 225.2,FFA,2037845.01953122,2094682.12402363,1729703.42187499,1705599.57275367,1860257.47827173,1672660.43847667,1803135.13134762,1687120.52832019,2156242.07275241,2353925.09277314,2310094.71386722,1776022.90820335,1731437.94677709,1961765.10400376,1681532.69384745,2015218.30541984,1990862.41748055,1991214.94189461,2644850.38366706,1951839.94787612,2572101.25976566,2099353.7406006,2327939.67993113,1843674.00744636,1791096.38281253
C15:0,241.3 -> 241.3,FFA,707692.32946775,721860.13159163,671062.02465824,721914.86999526,744993.25329576,697563.74609391,632535.56604014,684697.06774914,806942.31579587,935621.52722168,705421.992675759,676415.15075688,637310.04345707,747740.65380862,691284.12634275,756800.915649274,693982.90673823,885013.242889371,879017.540466422,711158.4120483,871705.464965796,721065.111968925,723860.474700844,712316.070266828,601185.06127908
C15:1,239.3 -> 239.3,FFA,1176219.10534669,1225202.59411629,871162.47924813,877331.24377437,1091807.04248044,920076.07177731,1015665.65637219,852340.695312451,1593611.43371627,1410231.28247127,1501754.59973149,1188017.22485362,1278320.47228972,1368023.47522011,830755.918090789,1385582.21472334,1361030.45446781,1389389.73205519,2375297.22160397,1253901.38577321,2302254.40640254,1518403.17478897,1607410.04296865,873889.04580711,803286.875121959
C16:0,255.3 -> 255.3,FFA,3274046.10009767,6801244.76171921,3265615.41210935,3682361.36035168,4750580.36425686,6444520.1079101,3565570.99316406,6054817.25488269,3636534.3588872,10944483.909179,3621807.87939533,3844522.23730468,2593731.17285219,4668851.4218747,8444435.64990304,5366359.89746127,4063897.51025408,8311507.7241217,5941857.75488251,6525965.47338809,5727074.40502914,4473221.98754875,4006334.59692374,8077383.10375981,3194511.2270509
C16:1,253.3 -> 253.3,FFA,542186.33776861,601632.14184569,546507.47656247,558656.15954595,616362.70483416,613694.20373528,543725.55859382,601387.0008543,579886.50158686,783765.87573266,556533.63879383,553207.79895014,546221.13720715,566902.86071782,607684.0815429,625168.401794271,557429.99707014,691377.329589795,625321.741943297,613300.661712627,618005.32141127,571965.51904303,555563.418701202,601710.20495613,582232.80371084
C17:0,269.3 -> 269.3,FFA,1126344.36560044,1542918.75463814,990257.878051419,1282062.20483452,1751843.60437064,1821703.53027294,985598.78442375,1993763.03894031,1360838.0124503,3110438.25927677,889079.03735343,1003648.9235838,689097.130371234,1082840.39746189,1632731.69152789,1885065.88934366,1310167.54840176,2119046.09533679,1784435.38284257,1570867.21908565,1553325.68759197,1448712.89947517,1144737.86283922,1682239.57653793,620919.1032714
C17:1,267.3 -> 267.3,FFA,400523.908752273,469862.672790679,392726.631408508,424121.294372424,487549.794860865,457358.153320411,388852.167419449,627662.841857995,417402.951110867,671776.64697266,409423.849670329,462542.713806017,467737.792297306,422033.589111061,446990.271362297,504692.178649799,422442.429077273,709285.867706355,501171.776985262,584139.019348001,470557.513488741,456537.611221115,393474.508377083,537161.616394058,325338.38305655
