lipid,transition,type,1A,2A,3A,4A,5A,1B,2B,3B,4B,1C,2C,3C,4C,5C,1D,2D,3D,4D,5D,1E,2E,3E,4E,5E,SolventBlank
C18:0,283.3 -> 283.3,FFA,5899854.37695325,14219710.8515627,6135875.58105376,6557339.23828116,9503151.2636719,12126094.7226559,7555765.78710806,13131628.001954,6712014.6142578,19794683.7978512,8604872.65039056,10102644.7499991,5621570.8750005,10555370.8623051,14465918.5087887,11420714.1064456,8879425.18066334,17160982.1364744,11329404.5490728,16485936.0090335,11048170.7950438,8127602.25659195,7868262.50292975,15883948.0246588,4283899.0146486
C18:1,281.3 -> 281.3,FFA,909345.30566412,1037112.44799778,863289.04309079,946813.285888843,1030441.67346197,1146002.2746584,903903.24621583,1278647.03759769,926294.38769533,1676870.18115185,967385.188476581,996162.785156411,1022752.75402846,1088325.26159681,1266397.83166505,1247778.76513659,1073276.26354981,1388319.32714845,1178290.66506977,1236894.76577767,1143333.96630864,1029719.3348695,1106359.04287722,1258135.8061219,697202.98901376
C18:2,279.3 -> 279.3,FFA,745236.998657019,1262463.9291997,647954.890960563,857198.205993694,729600.814880292,1025914.44476323,855877.604126255,4843915.60131787,657668.126830889,1680938.45794739,780456.019226177,750617.5698241,1212128.5590213,949935.135131944,1472842.83654784,1204889.80505409,914002.50018312,1384821.75103748,863232.126022168,1513987.48429864,1289948.90528803,746693.25552353,1099533.91841126,1713043.97610418,447752.95312494
C18:3,277.3 -> 277.3,FFA,600038.24401842,664711.948119999,555644.24041753,531115.5778809,579655.12451174,809708.684326099,652457.070495638,643753.327941955,554081.560669029,1282400.617859,698874.629516498,679101.4281006,532666.498901466,706977.648742634,1012944.4180907,1010136.55810548,708086.311554009,716851.089721349,667897.309722903,899044.625625576,825504.1351471,683193.528533977,590579.94410688,712707.607208232,385741.44897447
C18:4,275.3 -> 275.3,FFA,357564.78442374,410771.867004502,371322.08496102,353392.903686588,373008.60632319,411056.410522338,410869.86669923,363900.72534185,406381.945251483,584587.881103585,390383.686035043,352758.924987853,334277.12304684,371542.607177843,408284.048919639,389442.007263063,373560.926330569,432905.571624723,471417.532089073,401229.544448788,363387.986740156,641923.945404246,361826.385711663,388770.927948085,299274.30139163
C19:0,297.3 -> 297.3,FFA,3381981.393556,4444716.5742198,3369015.66455154,3683111.95800828,4150241.13501083,4131700.02490232,3285187.86645523,4320548.91650349,4145215.50830151,6719579.18554612,3548684.36523512,3620784.39648486,3382871.55859433,3970167.42871118,3985192.28784125,4481557.8908697,3815738.30505343,5283632.21551477,4802303.02636752,4397152.72296172,4739676.67709356,4089580.37231407,3965351.66925004,4674653.30108752,2707620.84350568
C20:0,311.3 -> 311.3,FFA,7629513.85742181,9491830.2617174,7987531.8916011,8291400.8535165,8828301.2050774,8536722.76757709,7918512.29980539,8493693.06152401,8316053.44091789,10721182.4345706,8276778.35449244,8607340.4199222,8314249.140625,8767934.76464869,8214360.04345761,8534492.67138654,7926653.51123123,10069502.5023495,8704285.30587761,8502612.40457152,9073496.73488606,8128218.63673336,8678067.58386995,9337423.12508008,7056959.41503859
C20:1,309.3 -> 309.3,FFA,595825.941284151,814653.958862283,632269.223541169,710501.98638917,746213.555145172,728714.090698004,638192.825622346,1530173.43792776,666650.12597652,1031205.8911743,597655.179504311,759214.175659264,809307.784576523,725115.453247021,632163.46435559,763784.995864798,622185.806503433,1380261.93471111,766674.796073847,775939.752731308,897429.92031843,812451.574005328,774041.512462599,969419.664825408,522964.097198482
C20:3,305.3 -> 305.3,FFA,540393.317504881,578610.038940575,525870.738708458,543088.59924319,549803.238464482,549499.514282248,523369.616088868,526093.436096258,533846.99636844,739963.591858086,512122.377319317,507986.418609592,506044.37579344,772088.772948948,565897.500305144,547052.779662952,496354.314132669,593180.8021239,558372.319954,592293.984817626,545835.218681347,507178.615585303,463905.912998077,517114.936996556,438768.291198764
C20:4,303.3 -> 303.3,FFA,710618.048828081,715063.275268529,584268.602844148,683125.484558119,771822.373718201,789110.355651656,546758.817504867,624247.688293358,680334.810088934,1035709.00219732,537107.998870844,489924.574645939,491036.414092957,593512.002868617,747641.011627183,605251.748641858,540964.378890879,637742.64482105,644748.76091007,669167.303710624,562870.580741797,617852.326370333,563181.936508089,585518.240234186,473785.073608291
C20:5,301.3 -> 301.3,FFA,1160637.58715828,1440551.51757876,1152283.08093262,1111754.77600108,1367377.38378889,1337916.73089591,1076047.79772932,1337590.54809558,1242296.05596918,1965357.94433549,1178420.5231934,1117107.85827646,1052232.86914053,1229382.90905757,1561606.78735212,1345669.60723876,1226079.11505119,1655451.3424079,1499944.22509702,1352307.75378461,1356341.48263568,1209159.47085543,1147072.6742783,1322420.43379172,907298.30914318
C22:0,339.3 -> 339.3,FFA,4097547.25036611,5778218.64111304,4254468.69763173,4432777.6385513,4834332.9091798,4749511.00659155,4254573.28051694,4581937.96020495,4338781.89575199,6106165.51733418,4137141.46313475,4844711.73681653,4454652.46533305,4112669.31237765,4225201.60644567,4617458.17785591,4122990.05688624,5953238.75117524,4752219.8659403,4590557.58984897,4794127.68488766,4368644.69025661,5090102.35625517,5294771.45488716,3728802.04809543
C22:1,337.3 -> 337.3,FFA,523313.119140672,865406.598571614,520221.539794976,578181.738586428,666281.670532455,675881.264770269,479848.714691042,708802.985565265,611623.185210892,886565.28479012,461684.134094225,585580.58499119,801638.181449912,535026.174408029,508682.257263273,644582.366653294,495701.44114681,1142675.82935761,604932.34699622,626563.48967344,773689.961566849,578608.405265719,832774.316982167,896160.905280897,436080.610473652
C22:4,331.3 -> 331.3,FFA,424109.709991515,434032.929199195,421532.710479652,432391.169433569,447181.709991512,425033.651184069,385065.766632147,413086.368240382,399826.907562279,597878.099990688,417043.009521473,385327.747466969,395784.808441025,407468.931579592,422167.908966004,434360.370483415,449641.632095236,612813.122367817,481109.795158471,455366.973518309,426462.570995257,424909.58990845,400007.047233405,480343.234630561,399572.888488744
C22:5,329.3 -> 329.3,FFA,816635.996093779,1312429.59667916,827090.577819985,836545.057800281,985467.007934507,1047363.53436294,839022.538940412,1010672.55883789,838348.898132311,1489387.80822668,862788.64331047,820314.437988139,744429.810821529,931351.552368041,1204431.26184087,991168.328552231,848572.896362128,1411159.21171565,1048180.65650551,1096801.30236088,1007687.410717,864822.997547145,818567.677379528,1270272.52452569,678324.00884997
C22:6,327.3 -> 327.3,FFA,1271327.14300523,1707825.95764322,1202573.12622062,1197619.40930201,1511710.36120617,1349498.34234624,1070708.29376214,1415439.37274167,1280922.57287606,2164470.7768554,1087174.91882328,1248520.62719736,1050130.6773377,1084372.45593282,1280598.60998553,1492878.96017493,1250891.14083861,1923419.99782181,1430233.74517457,1494536.64822,1491035.20521057,1339186.64710604,1324722.12385184,1534039.35041381,903341.826782291
C24:0,367.3 -> 367.3,FFA,598164.905952418,925836.217300316,578295.526794372,642033.170371792,860975.099685744,833070.632621582,593309.15606703,1233439.2979267,684136.869335027,1327114.87655637,499133.194107234,608201.085067842,652847.227192005,502824.496177538,598434.16018293,914541.23578271,646234.72188925,1241703.17718564,758374.798595438,739496.419059767,848306.520313225,767714.495273696,760458.630127064,860424.036815481,426393.731063932
C24:1,365.3 -> 365.3,FFA,381077.688773979,451940.994315957,373332.344711107,386909.829330353,505039.333625791,477114.658065924,335607.146140893,503757.778526247,430808.232803405,784550.843727058,342308.70452866,391670.62707513,311470.080982313,337070.743461499,384805.786746826,571452.402317111,386725.88935856,581229.463367611,481964.433444972,437090.692443902,435118.790275414,452054.047695153,392433.467552115,465788.329708099,307915.780822702
C24:5,353.3 -> 353.3,FFA,627505.20306376,944432.936462386,647652.428176911,679632.665298383,861218.17968746,852535.104568252,612746.121459737,1184036.64691007,765994.498870718,1469364.20324748,634531.427322416,714122.526794388,563180.857490286,583234.197997914,665372.322525156,929164.426071054,664733.612648052,1294733.04114998,858233.200836124,810610.694938577,928846.011669075,878651.104858297,792885.238243021,964937.870559587,418521.548370347
C24:6,355.3 -> 355.3,FFA,522626.053489588,578410.878814857,488891.53477488,523919.116668521,723078.274009669,585575.502716028,439853.251373377,622596.240447925,612409.861343479,965769.994781406,478074.155563345,483809.752105687,376052.669635679,409686.990272546,533898.960311796,626954.36530685,511278.952972412,892917.219081799,605454.686065748,574799.716209389,599233.486312729,590451.760330211,500102.539081576,610498.983253388,284347.540969938
C26:0,395.3 -> 395.3,FFA,653840.445403932,912013.108444389,680753.586684889,706622.054050394,781114.652515485,784474.516845913,651378.766212533,788516.954910201,732904.614006216,1025327.88907623,661668.367175864,686333.288360696,922679.371788097,658510.267494067,689457.40829101,847016.980216956,781384.351410022,1302349.24327104,858017.302352887,836469.801098044,898018.006664153,845962.743919023,1008254.81713098,1044979.77288826,596420.884376549
C26:1,393.3 -> 393.3,FFA,604662.981635988,690788.810363774,596582.401550371,589461.702484054,687729.890098768,676234.086967631,554062.118366133,625336.003894809,590914.48013306,781642.793956919,521628.999183677,536917.336242404,495282.033355693,494979.152294162,528785.397342607,607398.121452231,515350.537017776,675390.862377301,576449.982005902,554939.43577574,541576.480499168,562532.457919886,533563.93737782,581113.19863904,564963.398490969
C28:0,423.4 -> 423.4,FFA,350814.584930427,445587.847854595,322859.780937259,362486.628196617,448129.852901624,416044.569747938,324190.801971312,441511.395732693,376082.547008455,635432.619476023,324000.782917052,338884.223049169,306986.561500456,412793.010894858,384082.306857881,452542.713558235,355570.246387542,520566.856750374,451971.711738522,382636.048370425,378518.72739382,405013.109428436,345230.503666046,492447.897594578,236102.536804135
C30:0,451.4 -> 451.4,FFA,259714.779678244,314702.362980044,280536.46026613,291785.56029884,413685.171100468,322300.804427987,268313.419487043,317922.759590136,331196.725235079,427976.467849647,244600.296794941,230905.437248206,198782.933898969,263918.457668324,228947.176342068,305564.660133375,249736.057113711,351093.786708785,298883.282165447,259673.899120321,283247.358364097,273444.097274796,254921.7375566,290831.301765466,165156.471572862
C32:0,479.4 -> 479.4,FFA,227714.495849515,259497.677169733,244124.917755226,274243.1211852,302715.600311347,242191.457244916,212631.714691087,249831.498001321,253737.596343991,344288.90530384,197331.554138034,185800.751602112,181114.112075801,180717.493446354,193892.974487276,240781.235656709,194658.213409509,286752.500824174,241887.257293671,226894.177886941,230208.795730624,237458.737426622,217547.254592882,269728.900672904,150750.071151748
C34:0,507.5 -> 507.5,FFA,276280.241668668,360244.805358934,226938.037048183,258204.559570238,351832.08596812,346946.822754002,235664.355895918,364015.464996346,323401.542663491,629583.886260859,214038.896453881,241243.038024948,182669.712921142,224035.815582207,275170.020080593,374422.985961997,280152.558227427,480870.89700317,371929.966156119,324530.103668013,336006.242569015,332523.582763708,285910.259460445,301718.759536705,157007.770812974
(11Z)-eicoseneoylcarnitine,454.4 -> 85.1,AC,1515292.6640625,1577835.5507815,1469165.0595703,1525389.5048827,1404051.9248043,1573934.1445317,1386509.1367188,1411108.5224612,1482672.1582031,1402611.7988285,1446950.2421872,1431913.1201169,1796938.02832011,1882103.2158203,1377123.1171876,1368783.1152341,1390285.3183588,1707217.5624997,1520609.4296875,1785859.4355467,1553496.4697265,1637882.1708985,1607204.3359372,1725119.8447263,1352628.2929686
"(11Z,14Z)-eicosadienoylcarnitine",452.4 -> 85.1,AC,1415584.3466795,1502606.2460937,1402108.6572259,1422880.0771483,1325962.7939448,1489607.0048826,1351199.7529295,1302234.9775389,1436430.9082033,1329618.8095701,1320437.2929685,1362363.9208983,1710144.9414064,1818671.6884775,1299207.7363278,1301909.930664,1343782.2978517,1615061.2763675,1436360.4804686,1791960.7080076,1478161.6210937,1533698.4853515,1560882.4472655,1648738.1816408,1308280.3896489
"(13Z,16Z)-docosadienoylcarnitine",480.4 -> 85.1,AC,1364655.94091852,1397309.51342791,1293261.83398404,1306103.08715887,1177142.12402347,1570333.77660994,1168510.0437014,1286285.25073266,1337071.85888695,1198649.03198261,1189336.60473633,1305579.71411129,1619934.8168938,2343304.80371057,1211522.96557648,1164777.86084022,1217741.7741693,1615231.51025277,1346935.26464808,1832992.8366701,1447324.66113313,1332439.65698277,1440953.40429735,1614293.36767533,1116669.43969706
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",384.3 -> 85.1,AC,2311752.88818369,1468789.07861339,1225799.47607431,1377068.78613237,1463067.85253915,1673189.42285148,1329730.36962902,2133242.64404253,1670145.86865242,1684791.85644539,1469768.04931594,1489874.8393555,1469560.45898391,1460746.32519537,2445071.60693355,1421180.87158194,1409375.31054631,1294155.56933548,1945723.38720697,1470201.3261718,1611085.84472653,1446149.44091784,1335218.18505875,1630091.03295886,766595.77685567
"(5Z,8Z)-tetradecadienoylcarnitine",368.3 -> 85.1,AC,917726.88720734,940939.86962901,936049.55126946,933477.18603517,929107.48828138,970880.6347658,881308.063964979,860488.76318349,899034.62255867,929729.47021499,871132.76220708,841256.07910158,990120.048339801,1290928.13476547,849975.49804691,897070.70800756,842155.85693364,1233599.07763663,967569.35253904,1010588.38916012,965699.50439454,894444.84326156,935166.10107417,5211554.00000071,801963.05908214
"(7Z,10Z)-hexadecadienoylcarnitine",396.3 -> 85.1,AC,730034.13134782,757539.669433571,736995.21191406,743930.45410157,742317.19238291,740371.23583979,706990.46972666,700472.91113278,763236.85791025,707458.14892584,651941.04638682,733046.39062509,806517.31591817,946677.63525388,677937.1479493,682459.95019545,689613.77001963,857187.72460954,792361.61865229,865534.51953109,752346.15136703,718664.62988277,736947.83349611,897465.24462891,635406.78515624
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",476.4 -> 85.1,AC,1445191.42724604,1741118.24804742,1330018.32836935,1337271.93701181,1213585.48779299,1727137.56469754,1265926.46289055,1250597.72900395,1302859.59228519,1254025.08789059,1211986.86328146,1341582.55566449,1783912.79833998,2294135.83447283,1214048.88623068,1212262.9843749,1220715.93017621,1624262.71533278,1366792.11254884,1659649.07714795,1599343.81298746,1397031.6826175,1616974.98388632,1618732.40332136,1202994.58715867
(9Z)-3-hydroxyoctadecenoylcarnitine,442.3 -> 85.1,AC,3116678.3515617,3343514.8613278,3534009.4746095,3333708.6523439,4256180.0097657,3587276.6855478,3433019.4794924,3290109.2285159,3724358.9003909,2726974.3466801,2253666.7578126,2387712.810548,2799328.2167962,3003814.8281243,2170442.7666016,2712620.0410156,2648524.5117193,2864614.3554688,2437820.3730468,2813709.8691416,2589314.4511719,2779781.6992192,2718563.8623048,2754386.9492189,1854346.1132807
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",412.3 -> 85.1,AC,1334541.55175809,1522869.69433575,1460317.5146494,1398446.95751953,1721083.57324214,1613700.99853532,1420624.49413998,1336632.29882866,1562689.15136765,1173751.05371102,966763.44970715,1054050.73925775,1247168.54345724,1474870.51611232,943186.32177735,1166539.63671888,1137168.02148447,1433158.93066398,1074470.5151368,1217417.12255863,1214468.49023431,1381168.23974704,1387624.48339793,1245736.29540954,822958.77978509
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",438.3 -> 85.1,AC,2719564.7382816,2984770.7089841,3107393.0136724,2935261.6718749,3835346.4531251,3204048.632814,3026084.7568363,2887032.165039,3308404.4560548,2435860.5322257,1923078.63086,2067147.2197266,2388136.2587892,2734429.0917974,1895036.3115234,2382395.2919915,2340036.0917967,2570634.0312489,2067626.3251952,2465216.1318358,2286644.1113279,2310002.0390627,2473349.7617179,2390498.982422,1546114.0898432
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",444.4 -> 85.1,AC,1931106.4882809,2055550.0000007,2007773.5781251,1980190.4238284,2032023.1621096,1985310.4999996,1894019.3896484,1878650.0751956,1999288.2841794,1847576.208985,1737779.573242,1862354.1738277,2113728.5761717,2224863.2792973,1729512.8437496,1812478.1210935,1820176.447266,2062508.0820313,1865205.9296874,2282372.8613278,1950501.2988279,1994623.4238285,1879920.8095707,2214468.1054693,1719192.5791019
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",388.3 -> 85.1,AC,713400.19042977,742551.55761702,640265.32763678,648883.32617202,647735.06347648,826439.09619143,637481.36669938,652950.15039067,661828.56445307,664817.44873046,607900.98437515,668544.28564452,748510.128906211,860428.26953114,614297.22509768,624829.42431655,621222.36230458,828449.73974622,692998.90869161,736721.25390627,708229.00488286,679035.52685553,709879.81152353,737512.70654294,600726.88330077
3-hydroxyarachidonoylcarnitine,464.3 -> 85.1,AC,1751617.7880858,1949212.81640599,1558446.64941396,1593527.96679614,1431563.96240236,1983064.15527348,1457624.05957056,1617550.85839805,1636823.87011691,1465276.37792981,1615355.58593718,1535378.02929746,1973347.02734335,2529115.63769519,1542348.17529269,1415005.37792918,1430560.29882822,1805177.96484331,1615617.88671892,1993200.9355461,1779445.22900422,1642046.90136712,1803644.35009709,1880848.10937464,1353968.27636693
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",472.4 -> 85.1,AC,1430806.76269532,1584937.46093718,1211215.4296876,1232840.35302726,1110472.89209005,1610220.37499931,1156056.6635741,1300391.71386717,1238906.42041064,1147590.95849601,1274615.49218764,1190409.92724591,1622231.54589786,2035102.61767615,1191341.8041991,1095347.01855498,1120635.91894559,1493518.22363353,1295461.98730516,1478944.48730478,1428159.69873062,1321409.05224604,1446812.23095798,1496414.26806594,1060809.85693374
"3-hydroxylinoleoylcarnitine,",440.3 -> 85.1,AC,2693012.0878902,2923813.1367187,3161044.134766,2903735.2666018,3695982.1865235,3231208.6474606,3027521.7265625,2850091.9072269,3349588.3154305,2367500.5078122,1893576.6953126,2047471.3652344,2335584.8974609,2710360.4501953,1849687.4394531,2340789.0449214,2251180.7626952,2581575.1269519,2008049.4990235,2417779.4843751,2264775.5859372,2420236.2714839,2456930.00586,2399076.0146478,1510980.142578
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",414.3 -> 85.1,AC,5050968.5234374,5076345.9531247,4994917.4687503,4845704.8515616,5171493.8789063,5102788.2968753,4923359.2109382,4725538.8906247,5011981.6054692,4621820.4960933,4338208.0742184,4425007.09375,4798961.9999996,4926638.1054699,4314437.2656244,4535827.8085932,4518422.1562502,4748259.2539069,4551385.0625003,5263543.1640623,4686845.2460931,4802722.6757813,4620762.9179697,4640527.3046872,4463769.2910161
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",456.4 -> 85.1,AC,1676744.870117,1664967.9785153,1581454.5292966,1608012.1347653,1505137.7207036,1704983.1171875,1478905.9248049,1619503.8906245,1652308.2167963,1493007.3017577,1633150.9482424,1574589.1494142,1915509.3837892,2036246.16308535,1562028.227539,1471480.2031251,1497064.18847619,1761495.0429689,1657017.865234,1901667.0244138,1680530.0224612,1743514.8037112,1670949.94921918,1808201.7089851,1429958.7871091
cis-5-Tetradecenoylcarnitine,370.3 -> 85.1,AC,752493.31591796,796433.81738273,752733.79101568,793464.09619142,795803.7758788,842612.62304693,737416.17041026,717157.95312484,750048.67089844,773720.07275402,709185.5913085,728475.95361335,840986.70117183,936260.349121119,731361.11035162,745261.41455082,694948.22900391,1137325.03027399,812869.53320314,847294.28466796,804183.99755868,746233.53710933,793134.89794945,976158.40966786,665462.76660155
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",474.4 -> 85.1,AC,1287127.30664036,1594133.59619141,1197326.65869201,1169560.64257805,1080415.21533246,1595666.48828216,1112388.95752021,1134978.05712864,1148075.05834999,1094587.44970726,1077885.57519542,1182096.34130858,1567611.56445346,2050085.4243164,1079386.97753969,1076539.49951186,1056810.81445296,1488568.73828177,1204574.91406308,1461220.9150389,1393923.36035128,1243640.34814448,1480058.50976566,1399887.04052701,1059480.12744197
Hexacosanoyl carnitine,540.5 -> 85.1,AC,1197433.42236355,1281241.81665064,1258569.26538083,1272204.55493143,1160849.72045887,1289176.77563473,1125828.26074232,1118757.65576208,1288688.61914053,1128457.03979435,1135569.18359363,1126571.3027347,1426185.84570299,1914546.72949234,1064462.09130849,1104522.33886752,1134791.23999081,1469560.18408241,1192983.00439418,1797839.22387718,1351828.63671877,1358603.17944323,1370049.37841807,1460128.15820387,1070485.95996077
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",424.3 -> 85.1,AC,7413060.085938,7648970.6249995,7360718.367187,7212164.453124,7523852.2421875,7718542.242187,7246005.1992178,7115214.8007817,7256279.0117192,6952058.625,6712187.8203125,6793064.9804692,7343094.5312505,7652316.562501,6660537.4570312,6961661.2812505,6811764.3867187,7302103.6914062,7132268.4609375,8140437.734375,7321015.9453125,7076744.0234375,7194391.171875,7114938.7656255,6710430.8281249
O-(11-carboxyundecanoyl)carnitine,374.2 -> 85.1,AC,1783803.96630862,1209291.63037112,1026560.95947272,1236164.24365232,1261861.89013676,1272167.60449219,1148046.27538962,1742227.26708992,1412436.69995128,1432895.91943362,1202618.84667971,1261256.73242187,1253981.15087892,1203898.90283152,1908078.77880857,1237252.88427719,1181550.52001961,1498741.92846674,1567422.32275395,1242915.81494245,1306716.4550781,1168588.54223651,1162166.82031212,1408444.95556689,663263.20507826
O-(13-carboxytridecanoyl)carnitine,402.3 -> 85.1,AC,912049.22265634,953551.80371094,825907.142578359,852224.10449215,844061.40136722,854635.03515633,788455.99414049,819540.75830071,875499.1064453,836334.80371075,780613.39111336,832691.33105469,930282.04394544,991978.595703,836349.83789042,796842.29687503,764077.11328107,939171.08300791,898627.279297,989083.42724626,872374.21582032,820098.29736339,859705.75976552,1018128.73046875,686597.86865231
O-(17-carboxyheptadecanoyl)carnitine,458.3 -> 85.1,AC,1692290.1894532,1727539.836914,1557310.42773444,1629237.5166015,1518170.07910116,1664248.99902312,1477548.5019527,1628197.9658204,1649380.9003906,1517999.192383,1689921.2753905,1583409.7138668,1900182.57714884,1943854.86132858,1575294.48925722,1504928.4453128,1479539.5624999,1749656.419922,1641440.0751953,1886690.2871091,1647671.397461,1614235.4736327,1668363.0175776,1792159.8544922,1429621.7216796
O-arachidonoylcarnitine,448.3 -> 85.1,AC,1579265.0957035,1712223.4609378,1592813.3330072,1591034.6904291,1490074.7861326,1662264.1152343,1482330.4160156,1468805.4013675,1606191.1357422,1485888.5107421,1473711.5214846,1545046.0292969,1959442.086914,2161925.9394532,1463021.7626948,1460762.2636717,1505154.4453125,1838662.6357418,1618765.2939452,2017836.5654299,1702435.5966797,1694081.4433592,1695166.9277339,1891118.5615238,1493365.1074222
O-behenoylcarnitine,484.4 -> 85.1,AC,891839.38378907,943303.0097657,916255.367736925,938472.72729506,900163.56433119,864800.959899935,848671.01940937,901611.782592773,949397.34631344,890349.72351078,858318.758788972,956530.187255818,1060928.29803462,1359558.72094789,914258.544860692,876001.06396481,883967.044982874,1100401.67797837,945170.19067383,1303838.98840297,985393.09082031,934047.06677261,931791.58984384,1096890.65789778,800445.97998042
"O-oleoylcarnitine, Elaidic carnitine",426.4 -> 85.1,AC,7248518.679688,7419494.8828125,7169486.6406255,6984178.1093745,7291991.296875,7474741.9843745,7044766.7460932,6884990.0351572,7110001.0976562,6778230.695312,6456503.4062503,6568592.1250001,7162948.7382802,7366337.929687,6496740.8945312,6697960.5703125,6638084.2343749,7018759.1875,6893303.3242188,7980409.3671875,7104049.9804703,6828748.695312,7072494.75,6932932.4218746,6604183.173828
