lipid,transition,type,I1-1,I1-2,I1-3,I1-4,I7-1,I7-2,I7-3,I7-4,S1-1,S1-2,S1-3,S1-4,S7-1,S7-2,S7-3,S7-4,Blank
C12:0,199.2 -> 199.2,FFA,291853.559631452,310646.841613611,326323.683593639,259140.377868639,249775.796630847,259870.819335877,294793.021179276,242488.117553709,303703.601867597,305904.622070286,323742.362914987,231593.957275393,241595.477111796,253212.897399904,239788.817260758,263655.12042235,228653.815917935
C12:1,197.2 -> 197.2,FFA,217118.514984104,225264.715667841,219507.756469788,179378.252593996,167471.991882312,168720.552520753,148679.570800737,154407.030578598,284288.541320783,454662.17150873,506020.97534169,150934.650543217,154750.711608874,156259.610504146,152283.771118168,163740.27218623,172270.611755347
C14:0,227.3 -> 227.3,FFA,655234.10485829,686969.67150885,866654.18933095,681405.20874031,606240.32214361,600037.06335442,767353.774291899,667935.50732413,637402.36450189,713385.33081047,735048.149780351,617564.46606459,619810.28210425,589522.24340816,585953.91906722,646972.02819832,684010.945434429
C14:1,225.2 -> 225.2,FFA,1695492.89746095,2053284.57324213,2455868.53759776,2078974.4604492,1713194.17724615,1662402.89990268,2319325.50683678,2419711.39746053,1785619.4965818,1724588.52050791,1990954.98681619,2209722.76855369,2225362.94140677,1946798.45996107,1744108.33105465,2209639.17529354,2462172.03027346
C15:0,241.3 -> 241.3,FFA,697538.713073574,859921.244323811,1186349.28503364,737130.193176327,672536.64410397,553475.796813889,925159.742248475,974350.61035112,582244.544067296,611135.786682406,755959.762390014,856737.518859962,924705.80340567406,803525.098632774,575992.061279225,860959.243164169,1037131.98553458
C15:1,239.3 -> 239.3,FFA,1999258.20611573,3975782.73327682,5968003.44207758,3457139.5902714,2250341.68109086,1943720.93157967,5044550.3507076,5266280.86718694,1626605.55950818,1711925.0087889,2737397.859497,4519205.7909546,4697840.6226197,3291863.33068793,2154651.79730214,4238061.62536572,5798989.87133842
C16:0,255.3 -> 255.3,FFA,4992006.20165966,2670068.24584955,3798167.80358832,1807677.61096202,2302197.63354437,2266315.38867175,1893444.49316342,2152547.81701607,4759161.74743704,4903402.71459951,3873704.12548839,2187509.08282445,2380685.08471632,2268260.13818399,2525003.03991745,3001364.84533637,1658887.12414595
C16:1,253.3 -> 253.3,FFA,285196.440246644,345042.684875495,578708.362915039,351374.981445262,357199.967407317,372668.526428116,329255.843505923,353493.664703278,296906.360840023,376773.286071832,304198.901611357,351350.384033002,385740.907714816,413681.34851076,374471.086181663,429116.167846882,256668.236541742
C17:0,269.3 -> 269.3,FFA,1306680.75762891,1024156.33142092,1135133.73693946,673111.868408166,753792.267913724,754979.432250975,1507303.14340252,639343.729522713,1061281.6929942,1110531.28042607,1132253.50735415,560682.109970051,625231.589477486,713613.319732523,866985.570952386,676757.484954829,580239.081573604
C17:1,267.3 -> 267.3,FFA,409976.829101491,465585.172668422,453994.6916504,253109.758422872,284550.780212233,264345.000427133,234501.256958008,243619.41729734,324413.5432129,365078.06457533,324302.50225829,206618.073974659,223912.356689427,346344.20596325,267734.758361848,242633.957153406,210575.035400387
C18:0,283.3 -> 283.3,FFA,10351704.1907959,8246766.48950137,9182204.88037096,3038765.95581005,4272570.65411324,3981065.85388229,3126377.3355709,3547349.40515096,14363169.4332276,11386233.2614745,9978435.52685487,3866323.5789794,4183098.32922361,4026600.24792468,4531526.02441414,4516755.38623095,1931936.90765323
C18:1,281.3 -> 281.3,FFA,829506.612000028,872370.171265097,2054728.58135985,268818.760070815,354078.566101109,322377.144225987,296048.720886251,290674.520172166,802566.993774431,657217.372741581,791103.506347641,264117.256958082,311249.060485807,386496.427795281,317711.939697418,299220.521240312,242485.836548
C18:2,279.3 -> 279.3,FFA,881893.812469951,682362.238098242,756265.375580241,232781.496704101,403537.269806077,321250.382965113,314010.139221049,505030.797943089,362064.765685959,366759.466918784,342839.164245423,203428.315399131,207476.716552727,771468.269439193,366275.761932367,212672.636139019,142099.010253917
C18:3,277.3 -> 277.3,FFA,648841.135620081,522441.495117035,277362.700439318,362375.204101679,229847.876098593,275994.07916274,199184.13504028,208152.915130616,381236.306274356,292147.100402923,312401.82250979,185819.772033688,187662.193328861,210996.994140697,198938.953979549,215973.375915572,150064.830993632
C18:4,275.3 -> 275.3,FFA,510765.912231375,427826.090820298,247776.757507336,298764.041503865,289392.741272035,293443.699035607,317799.305297843,263421.398254463,271218.89947501,257920.538147005,276824.69934074,204892.373260466,218223.734802236,313453.78283676,470962.309326012,224706.336059561,195161.434448214
C19:0,297.3 -> 297.3,FFA,3306794.35998534,2657023.57458498,2071078.22442672,1739232.57897994,1728097.83239694,1392048.58654743,1574275.88195699,1825258.90722597,1945151.68591299,2026781.91210977,2283395.35156341,1593184.02972462,1607640.93011469,2124444.18090829,1467357.77465778,1990513.71289069,1794704.28082236
