lipid,transition,type,I1-1,I1-2,I1-3,I1-4,I7-1,I7-2,I7-3,I7-4,S1-1,S1-2,S1-3,S1-4,S7-1,S7-2,S7-3,S7-4,Blank
C20:0,311.3 -> 311.3,FFA,1855486.88403371,2672555.71362292,1251792.2832025,1054172.50183107,1427821.58355714,1052390.53784273,792083.134643589,995696.384154819,1295813.98437555,1638982.94274905,1858650.93249562,1031662.76513634,1038049.40893658,1763739.34997588,1092845.48986866,2104973.03149414,879390.46020497
C20:1,309.3 -> 309.3,FFA,732950.697936783,553621.840149186,570462.384826806,322612.883361721,444548.749572824,326870.242370552,300964.681457534,402536.88848875,415515.008422867,422699.248474217,477115.271514678,269680.038513306,283803.76159675,542660.159606809,458266.30990587,296597.261474747,290224.939453003
C20:3,305.3 -> 305.3,FFA,607907.32006835,661760.62561027,688109.52539067,547861.3385009,530136.97839336,486002.63244618,472675.59118653,504576.03710921,660626.7044677,683948.425781239,679252.05139162,485023.47631854,473582.97326662,497439.29492189,478722.01452637,544112.77673328,447988.09228511
C20:4,303.3 -> 303.3,FFA,553956.161560097,435159.492889301,755041.301788353,407356.747222822,434872.993225132,357488.004852205,398632.166198648,501019.58343517,482267.953308106,383214.808288623,420359.968017547,376081.828521761,399146.965118435,504719.458923501,497404.395690928,495998.073943995,342293.926361027
C20:5,301.3 -> 301.3,FFA,1148593.91827389,1265113.80630293,1126059.66021665,798860.479827707,634198.628265486,621967.964172425,793533.027496423,918840.143616328,1359530.96875049,1214748.63494865,1319631.76226811,801787.896636997,791542.221862756,717829.700225729,645423.216674761,819138.551971227,858109.360260034
C22:0,339.3 -> 339.3,FFA,2374511.61743158,2110968.1117548,874740.056396394,882581.261657801,1062784.48440559,853289.818633889,523224.675353877,697198.530639642,1114127.348877,1040857.41003399,1208071.44000253,720079.485412681,728164.766540584,1271992.2559809,774533.625549427,1293129.71191446,649433.545471009
C22:1,337.3 -> 337.3,FFA,927675.528260334,729966.868865974,412555.092651476,396650.567169239,335239.224716055,305126.041564943,221504.474639873,261448.817443857,478055.835083083,375447.926147561,381947.827819787,215127.256256021,216269.575927656,442349.671936227,290592.183746326,253238.997894403,227884.977661139
C22:4,331.3 -> 331.3,FFA,376445.826843133,396584.908691425,377636.94680795,293789.081237687,255822.398803806,266306.637390157,222910.355377167,242441.217468232,349323.883728131,337961.923095592,304764.522766236,229321.355682395,220096.514404308,250700.298400936,231948.077240005,254595.0982666,230431.716430627
C22:5,329.3 -> 329.3,FFA,1664048.38153133,1023330.5132451,1006028.19659437,643345.540099975,535014.750884997,683622.647735712,407958.327636618,454625.330566485,1649128.16607629,1804893.90509022,1260471.38995372,440203.928405924,444516.811493108,494926.654113779,481154.493683071,481365.857086152,337556.503601103
C22:6,327.3 -> 327.3,FFA,1345533.82250988,1269074.30065917,864761.721618557,549803.140502888,603190.358856168,562946.060394084,415570.909973028,531655.275390556,910715.532288036,724031.453247059,867731.965087727,405810.884704495,411890.111022892,664198.603393495,488289.154907166,507850.67584224,345536.827087361
C24:0,367.3 -> 367.3,FFA,603578.959564057,793861.041442888,476398.232956072,361625.766448927,463952.834014952,416661.50981159,279632.681487967,411902.311416679,489989.87361142,532723.297607383,526850.298766991,302402.240234377,302291.898651309,511883.433990495,414291.169372588,344908.823974655,308789.241485564
C24:1,365.3 -> 365.3,FFA,882928.917022872,1695788.85620175,856680.580596939,535132.157348628,475497.733642709,474420.513488727,345378.742919858,611971.743225114,552544.718353314,723839.346038839,650447.224548259,493305.312225473,329145.12408449,647962.793273875,648603.451293801,846095.154815581,257765.277709967
C24:5,353.3 -> 353.3,FFA,682255.444976741,851843.528472853,435881.411834807,471742.491851847,448862.393356246,451994.732086139,310613.640289262,406268.35147081,404896.707458367,426898.373230045,482119.889739928,276967.620086779,299857.502349838,515521.773651051,460967.774719168,286777.599578701,301807.921447846
C24:6,355.3 -> 355.3,FFA,546708.340118433,614949.523773181,344823.443862974,505821.473075974,338458.226211588,516477.373565733,321601.62356574,320962.704040469,380469.007721045,328321.402832132,342476.585754457,268789.636825486,317393.620742898,339655.105239809,310093.343154889,291450.202819696,223974.055755578
C26:0,395.3 -> 395.3,FFA,461181.653030159,589446.861709689,416421.070037821,393810.069820485,371504.648986811,370247.888214109,294712.239807052,332272.467285136,403286.689361391,419504.189910841,411616.753051474,298402.199584944,306134.403015203,422872.626281576,312881.480926459,322126.603744513,306958.500549371
C26:1,393.3 -> 393.3,FFA,343152.184875726,374075.665725629,291630.202949486,270765.159736543,251735.057952936,246012.338073716,206382.214584331,236030.655578765,284617.640930228,271025.479095273,285574.460021859,206945.39375299,210092.395599431,249111.677261214,214351.015289355,233833.476104672,223660.27490233
C28:0,423.4 -> 423.4,FFA,418435.507331765,559659.839866745,506056.855941612,449441.396106887,321653.044849463,353523.449016709,412242.571014514,268890.182678143,419650.766731116,375423.472274769,417951.068572902,234921.136768338,268324.554317258,331187.88624578,295419.704132094,344715.70558548,158263.051628187
C30:0,451.4 -> 451.4,FFA,247106.958286161,700108.223518518,218026.332656774,358058.990730139,691912.801600814,457684.987617557,287123.258773849,326744.182960398,173804.492790278,186043.651878306,172349.171646128,253070.519504611,312831.301017852,385860.127006545,347967.242275157,308225.480777528,206252.013629969
C32:0,479.4 -> 479.4,FFA,178736.332489006,250192.398364915,160672.59152227,185427.353271508,160955.011329669,182009.054065494,123499.449089081,144293.990222858,139420.929733235,152920.070228595,139824.810173063,122570.309104895,135816.290412894,160976.989597281,150764.011696017,151980.890716545,107738.607501992
C34:0,507.5 -> 507.5,FFA,302624.142120269,340429.942039429,241020.319145273,289189.741538898,234783.73807533,319867.68311299,226896.918212896,302941.162101721,161041.969253625,163905.93125926,166182.870750454,239213.959396336,247878.955604455,247296.017921502,226590.396553073,233109.336532528,243832.997844693
(11Z)-eicoseneoylcarnitine,454.4 -> 85.1,AC,121722.808101676,405228.22837450303,362328.726661684,431251.89138031,509614.415119237,412033.666877779,245469.798660257,346312.083251982,456346.07031255,459797.312683112,418839.38881305,438330.930049971,313744.162841823,430189.266204815,421749.368000046,477328.273937255,575645.06298823
"(11Z,14Z)-eicosadienoylcarnitine",452.4 -> 85.1,AC,124860.968509664,409980.531902346,361519.124141677,413454.050926197,483587.254177128,415460.708889062,246664.236053461,365016.186706489,446730.773193358,454245.2523193,418806.328491245,440002.429885885,297996.421752883,419533.388996127,436996.31175994,494695.792831492,579625.20288088
"(13Z,16Z)-docosadienoylcarnitine",480.4 -> 85.1,AC,98370.267021175,256399.576591406,185143.913372039,205804.533451067,249131.896640827,208039.634777113,223064.475482847,355666.383972012,276617.501075816,247072.33783339,210190.075050333,216657.575767532,165041.39093782,206914.694828037,212921.175785043,234413.937023141,348390.385254
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",384.3 -> 85.1,AC,85905.865692134,220859.554023817,194646.913742041,210135.415405272,243878.577606223,209590.614074733,172638.952087432,243280.618621875,366328.72753898,271763.920013466,208440.575042685,208169.254577603,166469.093017544,210201.554901109,219580.93557737,239434.856750498,472021.60058606
"(5Z,8Z)-tetradecadienoylcarnitine",368.3 -> 85.1,AC,76254.045578,215767.21539306,196037.013690899,215026.11437987,261732.0989075,219389.574707011,138687.190147383,190586.533325196,274934.71948242,247447.957511906,231786.7156982,221723.274536136,178151.19274897,228783.695251499,223582.956115731,242996.6567688,466295.71301268
"(7Z,10Z)-hexadecadienoylcarnitine",396.3 -> 85.1,AC,75710.0255432,249357.499111258,190634.292999306,212238.194457988,241721.537872247,214942.195129378,188344.293090821,276321.842559669,313720.781616219,242546.657379182,205171.293914746,214647.195678734,158465.230590776,207831.935180688,215528.515197739,232545.576629607,371385.42468267
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",476.4 -> 85.1,AC,102241.986503577,249733.015708942,232688.077564212,277865.699077611,313522.442890166,282161.500431097,173283.572605098,251303.837039865,308872.96209336,305299.34041982,258765.478778836,300995.180637357,194484.713996882,291835.060497311,282026.439056405,328217.783145906,453121.77490233
(9Z)-3-hydroxyoctadecenoylcarnitine,442.3 -> 85.1,AC,204681.073474909,1049157.57302092,700370.927825876,795978.65618518,1791770.12689197,791880.43087384,679519.95300287,1525087.14038089,841120.71874994,804244.616882432,773008.896015155,820069.317505071,616502.002262126,767803.83570485,874746.841125553,902128.901531492,945699.606445531
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",412.3 -> 85.1,AC,83279.4455566324,253270.078273748,223517.396175418,251727.23687741,738482.323334227,255578.85791023,252900.938964822,488743.199432443,274220.61914073,264928.559265118,240112.536102248,256814.45910642,200691.093139607,242604.996276871,275143.599182138,271155.458374023,378433.16699213
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",438.3 -> 85.1,AC,204163.875839183,930290.564456965,622964.084068361,693418.22949229,1830531.61438048,721333.1921387,677213.44860845,1451680.9140626,783489.27941893,730222.71044924,677848.86779782,752035.57067871,540676.996604927,704853.709865549,777068.256408758,799519.676681521,857056.56250038
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",444.4 -> 85.1,AC,187050.713386481,717919.154910915,594604.320075992,673631.408206907,824615.757995647,668977.569850879,420231.092529319,771985.63671879,736156.2318115,687749.98815919,659547.907203649,689404.468337935,486033.855834933,673023.522472342,699099.328872646,782718.573059003,815895.59716777
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",388.3 -> 85.1,AC,70258.8653564389,200063.535667423,180941.51231382,204656.97436523,230038.337158166,197566.034576403,149179.110717765,200881.454284617,264209.57922368,236462.09631348,189869.013397194,200312.314422562,162190.471313459,198322.453582699,201617.81442263,231972.59582518,407937.02636723
3-hydroxyarachidonoylcarnitine,464.3 -> 85.1,AC,117594.887756411,318493.222385434,255824.978199026,323764.682006863,447554.671726377,316313.182373043,217802.45589832,312034.821433937,388424.885849088,364452.665359422,304007.580543539,343286.724018118,228871.295513141,329698.643360168,326061.704128302,376892.665950761,537639.18090807
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",472.4 -> 85.1,AC,102241.586597435,280422.499290504,234250.515716567,291512.801288603,402551.747169509,287518.741172808,195093.773597622,282831.721153292,333840.404930117,327200.601638802,275658.159667953,312683.802063014,216556.715278578,295824.400806493,302989.701004032,329584.82294085,474301.83447266
"3-hydroxylinoleoylcarnitine,",440.3 -> 85.1,AC,188787.573184996,936440.669052163,609773.723938021,690473.27093117,1774415.29278554,689057.76705551,666188.16455076,1375513.38720656,758720.39477539,735872.21228043,662757.866973879,721834.311950684,557476.679298406,682075.366649623,756637.692161568,796617.837417563,844522.93798837
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",414.3 -> 85.1,AC,607810.281738293,2362968.51104369,2329233.94959239,2651087.18652361,3166148.22167925,2587370.39941398,1331140.61474627,1979121.1777337,2499507.7089845,2524001.05029261,2502298.08886712,2665433.48632853,1833509.1494145,2609975.66601569,2703273.51025373,2936182.36303751,2669517.3808594
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",456.4 -> 85.1,AC,140698.130477884,414627.268962812,366158.384441383,432749.688297276,565755.680923573,420864.192672774,253739.257770436,399622.425903403,491045.253478944,475401.973632851,424999.890335105,442260.912967738,331291.184017189,419314.350250241,436582.789638523,498602.955520665,612752.20458982
cis-5-Tetradecenoylcarnitine,370.3 -> 85.1,AC,70716.584869372,191632.892623862,179145.093345644,199502.093505851,232159.417236299,194570.674102793,128506.909240705,171353.452739694,245489.217407302,225138.536064098,200011.994018544,200917.215026882,151210.850646946,196342.673400871,194467.093780502,225239.596588122,418561.26757822
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",474.4 -> 85.1,AC,91474.7262573299,264266.897552488,233372.855510686,287670.180767061,324547.502872366,286970.920417809,166334.851593016,243789.318145646,314381.961486801,306045.881130182,265349.699634606,308666.700866724,212103.935054821,305699.220550552,295985.040569302,346710.404636374,456865.49072263
Hexacosanoyl carnitine,540.5 -> 85.1,AC,128993.389221124,333341.9037169,148547.650421109,154519.691253677,255866.478103613,152420.030822737,209825.694046036,395034.381408772,751935.193550273,307888.419792326,196275.213775625,152249.23063659,132666.408531205,146949.289855936,157212.071746775,175479.392822215,296759.122512908
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",424.3 -> 85.1,AC,1043085.87060934,4165210.57363529,3947159.48024725,4727028.595703,5168657.82226585,4566860.2587893,2138454.0175782,3190556.0644532,4501895.43554634,4533908.74706969,4397196.8564449,4720057.5761718,3056210.21687728,4646340.5009767,4634932.84570352,5191300.58984398,5121042.6113287
O-(11-carboxyundecanoyl)carnitine,374.2 -> 85.1,AC,67123.004943845,189598.052993793,157990.750560755,179956.672546381,213981.175109869,186136.532531727,135491.989562988,184004.634399503,313812.163940322,222473.234832796,179417.092987022,182693.572662339,136794.369720486,180216.253265338,179924.512542712,189609.31378175,445717.41406231
O-(13-carboxytridecanoyl)carnitine,402.3 -> 85.1,AC,91206.106506355,252358.898067451,220684.274917591,242287.636901877,290855.941223183,241313.87731934,214867.694763165,331919.182708688,327269.064025947,284126.119995171,234115.877014172,247414.69781493,172569.752654999,234883.555221534,248712.57662969,259542.777954112,407938.9675293
O-(17-carboxyheptadecanoyl)carnitine,458.3 -> 85.1,AC,142370.429084756,422989.10907358,386651.667617786,464712.292640747,567420.843647075,430739.49160011,259642.558174108,405315.827434579,509595.317443827,481904.012329258,418229.410190548,475227.853420242,333964.164497388,446988.570556676,459084.752849612,525714.398536729,605020.20019535
O-arachidonoylcarnitine,448.3 -> 85.1,AC,140520.770347589,460174.889854345,397986.446273785,461344.792987905,504060.8768005,456231.07288366,305183.921752884,545209.15893551,531987.59497081,477167.835815427,437852.750976573,471469.215065039,337784.50486377,462341.97346113,468420.055599276,520990.334972413,611957.56298838
O-behenoylcarnitine,484.4 -> 85.1,AC,71364.0056648413,208720.33499902,149262.190902672,161026.65145109,184757.21308894,161868.511985785,190131.65277859,328523.004737847,222770.175193832,175801.813060746,159039.871086077,170508.652111068,122668.788249951,159418.431137128,171979.131442958,186557.792533834,254779.696594153
"O-oleoylcarnitine, Elaidic carnitine",426.4 -> 85.1,AC,1034118.43705376,4147211.40441858,3873712.6989821,4453973.30371078,4968351.33544949,4522398.8164061,2087117.1816404,3062316.3867188,4409603.32910169,4389985.75732418,4390268.66357394,4638146.59814421,2965523.16027829,4545947.54797387,4580842.84082056,5177071.4970704,4997468.9375002
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",398.3 -> 85.1,AC,80301.125732406,241674.995613079,195437.713176695,208072.954315188,245209.237182682,216090.01574709,188767.934753426,284169.038940425,299188.721893399,240059.556518534,206524.414398172,221300.97570807,152388.490447961,213855.195068368,215787.835113565,242328.116729752,366726.98474118
"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",400.3 -> 85.1,AC,78523.5657043381,214287.515777602,210344.333950024,234537.177246104,271437.059326102,226658.696228045,196385.674285981,317628.199798668,304980.681243903,254960.917297347,219869.675415066,236585.557464621,170906.612304648,234312.216705311,248470.037231448,273673.89953612,389890.96630871
Stearidonyl carnitine,420.3 -> 85.1,AC,1034074.95967108,4096050.96978724,3896593.90220282,4600755.15625,5215575.4843746,4557109.7158201,2157000.913086,3154493.1425779,4443187.68847608,4481311.28173888,4398591.3271486,4698292.3339841,3100076.4716798,4632443.55761722,4656285.08740252,5154542.56396503,5062914.2109381
"Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",428.4 -> 85.1,AC,1045499.17732619,4365960.89160531,4061921.64156779,4601343.90527404,5567054.9062494,4598773.7441405,2308897.2402342,3622656.5507813,4641023.8222656,4573353.60302714,4434998.06933614,4826354.12011658,3115407.46343974,4643373.26457283,4812059.86181639,5172836.1542969,5123689.3339843
TetradecanoylcarnitineO-tetradecanoylcarnitine,372.3 -> 85.1,AC,69046.424575803,184301.613433804,166042.89221954,181234.632171576,219451.41531368,186210.912750202,133245.98834225,176902.453056413,280406.738891634,226400.416961706,182677.913391111,186486.073150608,144309.729797341,179632.212310766,180898.353912349,208467.255371108,437832.17028804
12:0 Cholesteryl ester,586.5219 -> 369.1,CE,76659.36531067,73826.605201702,79545.085784903,94507.726646442,72044.745071415,128041.708557127,67649.004875171,70198.785125734,65720.1846847553,68246.2646331833,63534.784400944,69237.124900811,80995.06575012,85273.666030896,121837.508995039,83098.4459304696,67651.7247238085
14:0 Cholesteryl ester,614.5532 -> 369.1,CE,32926.602211003,28960.322166443,33669.2824745216,28888.1020736677,28080.3020477253,30735.3821907058,26318.081794743,30274.8221817,30234.9221954338,31642.702110286,29546.362052919,30196.422096251,29547.2020721409,31649.7422332841,35131.702407833,31058.74217225,29595.7021408086
14:1 Cholesteryl ester,612.5376 -> 369.1,CE,35804.342514032,30076.9621200531,35587.082550036,29145.8220443659,30341.9220657349,31499.5021514937,27451.981773377,29320.202056887,30681.342224119,33379.202484135,31029.582183834,28709.042099002,30295.1421127314,33972.12232971,34877.942596445,32259.661994931,29407.8221130405
15:0 Campesteryl ester_simulated,642.6002 -> 369.1,CE,102654.747070303,103971.407470686,113549.528137203,97148.626617418,104661.327270519,110655.207946791,100622.606872546,101825.486816395,98674.5273132319,101567.726867674,103766.867340097,105752.78686522,103248.2073364,112373.787841787,106170.307617173,111455.54833983,99475.466613776
15:0 Cholesteryl ester,628.5689 -> 369.1,CE,143547.171081496,135488.169128364,157548.27105711,135883.309692343,136499.289428698,146665.790466314,136309.729370108,152572.831176721,136835.109313923,141926.230102522,134244.370056094,142978.609313969,139713.289672817,142571.049865738,147889.090209928,149776.530883786,143273.770446763
15:1 Campesteryl ester_simulated,640.6002 -> 369.1,CE,164579.652221667,154468.110839807,172628.352111798,154840.651306142,156566.831115697,169573.591918918,151875.450256306,167534.95153806,151779.050842297,154338.551208531,151974.390380853,159115.291076615,157619.851196277,163917.571838381,163658.571777348,166214.131896924,150584.730529793
15:1 Cholesteryl ester,626.5532 -> 369.1,CE,144126.130004827,139743.02899172,158214.63159175,129127.009399377,137327.109680119,140523.329956006,136450.589477578,144053.630187964,137287.830078116,143135.430114664,129763.449096626,140583.870056094,134162.369506817,145253.210571268,144652.851196262,153388.431884709,147187.01074215
16:0 Campesteryl ester,656.6002 -> 369.1,CE,60419.064445507,75452.445678697,65386.58428954,50864.523696899,56348.804260247,65114.144256576,55794.223663327,57288.0840988075,45519.74324035,45623.7033996609,50116.423706073,43666.2831878677,63161.2041015516,65855.165054327,56082.884086613,53842.723655709,30724.042274474
16:0 Cholesteryl ester,642.5845 -> 369.1,CE,109977.907836927,101257.267456044,115914.788543715,104880.487609872,103650.666931143,109324.107299768,97545.387207019,108745.80755614,98301.067108149,101385.347290037,96287.266754141,103559.287536625,104361.907318122,109997.947875975,99432.2072143489,111438.627593983,98626.167175296
16:1 Cholesteryl ester,640.5689 -> 369.1,CE,159288.730346664,151168.450195307,171059.912170367,152671.590393053,156689.009948655,169038.652038526,152864.71063232,161189.990905746,148930.430725081,159974.470947218,152784.890624936,153685.129882771,154672.210266045,166125.93066408,160829.371337869,168109.052062998,153770.59100341
16:2 Campesteryl ester,652.5689 -> 369.1,CE,56734.3440704104,66320.764549245,58094.3641433775,44614.783081061,49846.583229061,65181.9041747944,51142.4837112112,50902.7035217365,42178.7030181882,39247.1029739366,42972.523162842,40813.202804559,58726.384536726,62978.764572143,45742.742919922,51131.243469231,30235.0820312521
"16:2 Cholesteryl ester, zymosteryl palmitoleate",638.5532 -> 369.1,CE,162530.611938453,156119.750793448,165028.790893506,152226.830932547,155309.051757835,162135.89123535,147229.851135232,161905.312011715,146616.750549325,158398.471130355,148574.270080572,147916.830566313,151307.870544413,158952.191589347,159481.291137683,165299.231323224,148593.190490703
16:3 Campesteryl ester,650.5532 -> 369.1,CE,54241.5637893836,61801.424018859,60831.704437255,44223.5832138041,52191.2835426355,59074.964462277,52360.903694155,52600.2239456233,38862.002494804,38138.4628982363,41240.3226089488,39941.1228714067,60069.9845352132,60037.48464202,48188.003608715,48734.6636810206,27056.0619277973
16:3 Cholesteryl ester,636.5376 -> 369.1,CE,156813.511413591,142664.410400386,167674.89245605,143813.210815431,151294.351196256,158840.390930189,147095.990600608,157051.89129639,147817.131469672,155099.750427235,143196.010559065,152954.671264669,152834.910522451,156840.950256349,152020.771118178,164036.851135276,145633.890258792
16:3 Stigmasteryl ester,662.5532 -> 369.1,CE,105712.386959085,115348.448177282,94426.365188586,80805.265716547,86431.4660034078,105767.447845397,83918.6862296988,84793.1859512473,72245.525146486,67727.024673446,96368.0264282244,56401.063705429,95185.0874595554,103324.086845466,76102.385742161,81165.8656158416,27913.301979062
17:0 Campesteryl ester_simulated,670.6002 -> 369.1,CE,114101.008033739,121261.968162543,98994.8069458169,81759.1660079743,87833.3660659715,112347.30826566,86633.4453201272,94148.7865829479,76957.4455566613,68932.784652701,102534.006576584,59378.184478764,98807.4268417342,109586.347724944,83271.0458221417,82106.0659637387,28294.922080992
17:0 Cholesteryl ester,656.5845 -> 369.1,CE,63902.324584934,76619.7849960218,62641.7638702208,55310.604003902,57624.044227604,72009.1444931011,58944.744529731,61201.304519651,45783.463562022,42772.482940685,49728.803592687,44745.022796619,67445.3447341936,70731.2254943836,48607.9833908093,55530.723556516,31454.0822753917
17:1 Campesteryl ester_simulated,668.5845 -> 369.1,CE,117984.16783902,115413.588249194,100769.426856991,74138.9854354796,86514.186080929,116594.088882464,87153.225593569,86641.3860092169,73702.445449823,71588.4452361943,107013.747161909,63670.5843963899,103274.728584354,110233.207786633,74836.3250617848,83957.9862747138,29386.262054445
17:1 Cholesteryl ester; 16:1 Campesteryl ester,654.5845 -> 369.1,CE,112561.788421624,135507.08963775,113310.928035753,91981.786689767,108171.507591224,124713.008819562,112263.42755126,112848.948020927,86538.8057022133,81973.0858154292,88005.606216431,86108.206214897,119975.488037098,124874.669666307,93384.906494129,97241.867172239,59276.8043746903
18:0 Campesteryl ester,684.6315 -> 369.1,CE,211126.916961723,183389.912284887,159634.792449946,150310.389564614,145632.451625783,180751.034309375,124302.507927,170759.351463371,132357.288818447,123012.128498046,214616.695465098,107837.588569666,161971.790679903,186104.070010954,142585.811553888,169944.933502276,40241.9626617484
"18:0 Cholesteryl ester, 16:0 Sitosteryl ester",670.6158 -> 369.1,CE,115642.927627567,112526.587677012,103052.666938782,75637.005020152,88611.606369033,109631.007911625,83531.0656433199,88991.185600288,77762.0456543049,69709.8051300037,102978.567275961,58889.4443435698,99536.207145633,110319.287765497,85611.645423881,83563.8260650542,29951.302062986
18:1 Campesteryl ester,682.6158 -> 369.1,CE,173028.711494442,143445.189033562,134610.888561304,116189.68917853,129214.748481782,147498.570308766,103981.208190894,127743.288330089,110576.70784,106077.527168262,178140.33434298,85102.9055557343,137526.709770156,150440.129997303,120625.187515195,129962.368370073,40539.0828094338
