"lipid","type","logFC","logCPM","LR","PValue","FDR","3A","3B","3C","3D","3E","1A","1B","1C","1D","1E","blank","mean1","mean2"
"(11Z)-eicoseneoylcarnitine","AC",-0.0326630042049994,10.7607109272162,0.0471136280630162,0.828164127265271,0.999515949103607,1469165.0595703,1411108.5224612,1431913.1201169,1390285.3183588,1637882.1708985,1515292.6640625,1573934.1445317,1402611.7988285,1377123.1171876,1785859.4355467,1352628.2929686,1530964.2320314,1468070.83828114
"(11Z,14Z)-eicosadienoylcarnitine","AC",-0.0486964747691458,10.6910625832634,0.104717064817009,0.746240765337312,0.999515949103607,1402108.6572259,1302234.9775389,1362363.9208983,1343782.2978517,1533698.4853515,1415584.3466795,1489607.0048826,1329618.8095701,1299207.7363278,1791960.7080076,1308280.3896489,1465195.72109352,1388837.66777326
"(13Z,16Z)-docosadienoylcarnitine","AC",-0.127868243003174,10.6079091501912,0.721814779733904,0.395549272958988,0.999515949103607,1293261.83398404,1286285.25073266,1305579.71411129,1217741.7741693,1332439.65698277,1364655.94091852,1570333.77660994,1198649.03198261,1211522.96557648,1832992.8366701,1116669.43969706,1435630.91035153,1287061.64599601
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","AC",-0.295643775328223,10.900183193096,3.85322121475474,0.049650548174022,0.388666062790257,1225799.47607431,2133242.64404253,1489874.8393555,1409375.31054631,1446149.44091784,2311752.88818369,1673189.42285148,1684791.85644539,2445071.60693355,1470201.3261718,766595.77685567,1917001.42011718,1540888.3421873
"(5Z,8Z)-tetradecadienoylcarnitine","AC",-0.068939049236773,10.0306050392171,0.209858168253049,0.646878592973174,0.999515949103607,936049.55126946,860488.76318349,841256.07910158,842155.85693364,894444.84326156,917726.88720734,970880.6347658,929729.47021499,849975.49804691,1010588.38916012,801963.05908214,935780.175879032,874879.018749946
"(7Z,10Z)-hexadecadienoylcarnitine","AC",-0.0282806619872073,9.71773147316532,0.0353186914276193,0.850929425850362,0.999515949103607,736995.21191406,700472.91113278,733046.39062509,689613.77001963,718664.62988277,730034.13134782,740371.23583979,707458.14892584,677937.1479493,865534.51953109,635406.78515624,744267.036718768,715758.582714866
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine","AC",-0.129756148067214,10.6392522158644,0.743279628612072,0.388612317309186,0.999515949103607,1330018.32836935,1250597.72900395,1341582.55566449,1220715.93017621,1397031.6826175,1445191.42724604,1727137.56469754,1254025.08789059,1214048.88623068,1659649.07714795,1202994.58715867,1460010.40864256,1307989.2451663
"(9Z)-3-hydroxyoctadecenoylcarnitine","AC",0.0527546146788165,11.6763578615544,0.122898165049264,0.725912207571361,0.999515949103607,3534009.4746095,3290109.2285159,2387712.810548,2648524.5117193,2779781.6992192,3116678.3515617,3587276.6855478,2726974.3466801,2170442.7666016,2813709.8691416,1854346.1132807,2883016.40390656,2928027.54492238
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","AC",0.0496304855469407,10.4782638896755,0.108772033941932,0.741546511880633,0.999515949103607,1460317.5146494,1336632.29882866,1054050.73925775,1137168.02148447,1381168.23974704,1334541.55175809,1613700.99853532,1173751.05371102,943186.32177735,1217417.12255863,822958.77978509,1256519.40966808,1273867.36279346
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","AC",0.0299487958038408,11.4794401235215,0.0396094530005939,0.842246131727606,0.999515949103607,3107393.0136724,2887032.165039,2067147.2197266,2340036.0917967,2310002.0390627,2719564.7382816,3204048.632814,2435860.5322257,1895036.3115234,2465216.1318358,1546114.0898432,2543945.2693361,2542322.10585948
"1-O-behenoyl-Cer(d18:1/16:0)","CER",-0.0131192748268352,5.41687021717059,0.00759347974789648,0.930559774136631,0.999515949103607,35334.982421876,35932.822364806,38222.3027191219,34524.9224510211,37223.922637935,35453.582580563,38245.982681275,37202.062545775,36752.8026733393,38640.2826919496,34619.542419438,37258.9426345804,36247.790518952
"1-O-carboceroyl-Cer(d18:1/16:0)","CER",-0.0789999623069629,5.87829440078009,0.275389490544967,0.599739155623298,0.999515949103607,41804.4027938848,41009.483047485,70007.065200795,48166.543312077,48404.203399661,41726.343025201,70850.185424809,46968.4233207695,46101.982986438,63193.624481194,38048.002899165,53768.1118476823,49878.3395507806
"1-O-carboceroyl-Cer(d18:1/18:0)","CER",0.0744543446298039,4.74029249118335,0.244402454775297,0.621044355740928,0.999515949103607,22676.1816406164,23867.6816673285,27127.5818862861,22074.0615005484,22529.7016220089,22032.0015449483,24223.1017341645,24732.5018043502,18023.2813072195,25621.5618133445,19196.2813644416,22926.4896408054,23655.0416633577
"1-O-cerotoyl-Cer(d18:1/16:0)","CER",-0.12892814575753,7.22828674783501,0.733653769297234,0.391701417343192,0.999515949103607,75174.806335458,86733.146041933,291152.719612126,103413.947154974,100956.727870998,72044.4055481384,244782.556137004,115789.648391714,73405.3447417571,230759.054241153,38759.382720946,147356.201811953,131486.269403098
