"lipid","type","logFC","logCPM","LR","PValue","FDR","I1-1","I1-2","I1-3","I1-4","S1-1","S1-2","S1-3","S1-4","blank","mean1","mean2"
"(11Z)-eicoseneoylcarnitine","AC",-0.596587617695919,10.5040019393021,4.35197888911671,0.0369659695742976,0.357803999415449,121722.808101676,405228.228374503,362328.726661684,431251.89138031,456346.07031255,459797.312683112,418839.38881305,438330.930049971,575645.06298823,330132.913629543,443328.425464671
"(11Z,14Z)-eicosadienoylcarnitine","AC",-0.600312849900069,10.4959750842427,4.40610980105293,0.0358104169611946,0.357387961272722,124860.968509664,409980.531902346,361519.124141677,413454.050926197,446730.773193358,454245.2523193,418806.328491245,440002.429885885,579625.20288088,327453.668869971,439946.195972447
"(13Z,16Z)-docosadienoylcarnitine","AC",-0.525502330877127,9.66359857132438,3.38189270084206,0.0659163177696234,0.474407344716953,98370.267021175,256399.576591406,185143.913372039,205804.533451067,276617.501075816,247072.33783339,210190.075050333,216657.575767532,348390.385254,186429.572608922,237634.372431768
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","AC",-0.749765127688166,9.81561917677085,6.84573963547882,0.00888529055091788,0.184739999371168,85905.865692134,220859.554023817,194646.913742041,210135.415405272,366328.72753898,271763.920013466,208440.575042685,208169.254577603,472021.60058606,177886.937215816,263675.619293183
"(5Z,8Z)-tetradecadienoylcarnitine","AC",-0.64966012972916,9.75400028463761,5.15386728109131,0.0231946597417874,0.307277925959785,76254.045578,215767.21539306,196037.013690899,215026.11437987,274934.71948242,247447.957511906,231786.7156982,221723.274536136,466295.71301268,175771.097260457,243973.166807165
"(7Z,10Z)-hexadecadienoylcarnitine","AC",-0.597775531418217,9.69166812740432,4.36908751998635,0.0365965840185115,0.357803999415449,75710.0255432,249357.499111258,190634.292999306,212238.194457988,313720.781616219,242546.657379182,205171.293914746,214647.195678734,371385.42468267,181985.003027938,244021.48214722
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine","AC",-0.623900019584718,9.95690038890709,4.75637085432754,0.0291900327783829,0.327858739177204,102241.986503577,249733.015708942,232688.077564212,277865.699077611,308872.96209336,305299.34041982,258765.478778836,300995.180637357,453121.77490233,215632.194713585,293483.240482343
"(9Z)-3-hydroxyoctadecenoylcarnitine","AC",-0.400732806978963,11.4107672440746,1.97121605641951,0.160318843583504,0.678853944599371,204681.073474909,1049157.57302092,700370.927825876,795978.65618518,841120.71874994,804244.616882432,773008.896015155,820069.317505071,945699.606445531,687547.057626721,809610.88728815
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","AC",-0.529061351879775,9.78614666179167,3.427618501486,0.0641144928422857,0.468807612710948,83279.4455566324,253270.078273748,223517.396175418,251727.23687741,274220.61914073,264928.559265118,240112.536102248,256814.45910642,378433.16699213,202948.539220802,259019.043403629
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","AC",-0.433641281226456,11.2622257874854,2.30700189226809,0.128792253436856,0.617955139086451,204163.875839183,930290.564456965,622964.084068361,693418.22949229,783489.27941893,730222.71044924,677848.86779782,752035.57067871,857056.56250038,612709.1884642,735899.107086175
"1-O-behenoyl-Cer(d18:1/16:0)","CER",-0.0730800496965844,5.43073031232714,0.0656980878286504,0.797706548453017,0.999412099756005,12099.660926819,11017.9607467632,22836.3618469221,10628.7607498177,12410.7209129336,13718.3209114112,11559.1607856763,11485.5407524105,10514.2607498159,14145.6860675805,12293.4358406079
"1-O-carboceroyl-Cer(d18:1/16:0)","CER",-0.3719776597364,5.23512511794178,1.69727526458126,0.192644698923294,0.722447355068188,9127.8206710839,9738.860740662,11557.0407791098,10850.7208213812,11646.5208206185,11866.1408615114,10568.2007293708,12033.2809295689,10562.8406944265,10318.6107530592,11528.5358352674
"1-O-carboceroyl-Cer(d18:1/18:0)","CER",-0.690650359990292,5.25303724350484,5.81237761286506,0.0159137646645139,0.258944627204101,9727.06070327361,8125.4805946293,15211.6809921385,6071.2204589829,16146.6614341769,16690.480949408,12200.6410255535,7365.680522921,9775.20070648359,9783.86068725608,13100.8659830148
"1-O-cerotoyl-Cer(d18:1/16:0)","CER",-1.24035057817406,7.25142647562763,18.3842653433308,1.80542725913323e-05,0.00384322975338361,28479.7823410103,27218.2617110997,50895.1627655434,18058.2612380977,74952.2859039134,84923.1651724629,59479.1041603189,24962.681652063,33642.1421279963,31162.8670139378,61079.3092221895
"1-O-cerotoyl-Cer(d18:1/18:0)","CER",-1.48270120132748,7.85973273405976,25.9539498793572,3.49659279512283e-07,0.000261719970714943,41071.3424301188,24103.7621040352,77805.765300736,28840.1825255866,110170.027126237,150129.450611053,98765.9867324233,34647.542739851,48675.1836280789,42955.2630901192,98428.2518023911
"1-O-eicosanoyl-Cer(d18:1/16:0)","CER",-0.391054046171808,5.56726665562661,1.87577522067795,0.170815099386888,0.700575900773072,12931.2608985915,13269.3609199511,17776.101238252,9636.9807968127,14453.881061559,15099.9010505674,14666.1810455347,14966.7810897812,12446.6808738727,13403.4259634018,14796.6860618606
"1-O-lignoceroyl-Cer(d18:1/16:0)","CER",0.687589571889361,5.76252121138048,5.76343703515181,0.0163630330066168,0.26339204742909,10217.7007484422,10516.540802005,69500.2444916812,11288.100803376,9982.7607231107,12674.660942081,12186.5608596798,12770.760963438,10372.9807930017,25380.6467113761,11903.6858720774
"1-O-myristoyl-Cer(d18:1/16:0)","CER",-0.424933187279961,6.27845176481005,2.21444037354962,0.136724633034678,0.63921573346258,20687.5016403295,20519.8212814341,28659.2220115598,17261.981250757,24906.0019683775,29413.6820335342,24380.5616683951,20478.7815093936,19107.1813850401,21782.1315460201,24794.7567949251
"1-O-palmitoyl-Cer(d18:1/16:0)","CER",-0.296557575502547,5.92205882262758,1.08038421195045,0.298611621069767,0.871387128150958,19379.5413169775,17056.2811660823,22279.0015830999,13316.0409698477,21314.7013664182,20738.6614837777,18614.601184841,14496.5411148067,14159.8610916157,18007.7162590018,18791.1262874609
"1-O-stearoyl-Cer(d18:1/16:0)","CER",-0.399722314042768,5.73108939543414,1.95975802667277,0.16153919944123,0.679281408886298,16401.1410903906,12669.5808105496,18358.3013191279,11523.4208183263,15451.8810653698,16797.4611587416,17532.2012901322,16100.4010734515,15060.661079403,14738.1110095986,16470.4861469238
"1-O-tricosanoyl-Cer(d18:1/16:0)","CER",-0.209048714638156,5.42947377707028,0.537167565628181,0.463608955360614,0.987295148816018,11461.4807891868,10835.7207756,19274.0611839214,10866.8407402005,12221.8408546422,14017.1010322566,12878.8808898927,11763.2607765213,11440.0408020018,13109.5258722272,12720.2708883282
"1-O-tricosanoyl-Cer(d18:1/18:0)","CER",-0.153507323489357,4.65070141904756,0.289554010285485,0.590506472775377,0.999412099756005,6462.9204216017,5974.040420531,12781.7008056667,5750.5204086321,7564.1405296325,7514.84049606171,7086.520549776,6305.8604393011,7659.3405990601,7742.29551410787,7117.84050369283
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine","AC",-0.523590784456485,11.1458748621327,3.3575994904877,0.0668955152325246,0.47686945858614,187050.713386481,717919.154910915,594604.320075992,673631.408206907,736156.2318115,687749.98815919,659547.907203649,689404.468337935,815895.59716777,543301.399145074,693214.648878069
"12:0 Cholesteryl ester","CE",0.0900855228366419,7.97522930144356,0.0999049227921773,0.751943760244045,0.999412099756005,76659.36531067,73826.605201702,79545.085784903,94507.726646442,65720.1846847553,68246.2646331833,63534.784400944,69237.124900811,67651.7247238085,81134.6957359292,66684.5896549234
"14:0 Cholesteryl ester","CE",-0.183786612669203,6.71582029053028,0.415506212548479,0.519187916860975,0.999412099756005,32926.602211003,28960.322166443,33669.2824745216,28888.1020736677,30234.9221954338,31642.702110286,29546.362052919,30196.422096251,29595.7021408086,31111.0772314088,30405.1021137225
"14:1 Cholesteryl ester","CE",-0.140238851908649,6.75125590269536,0.241999629953469,0.622765592410759,0.999412099756005,35804.342514032,30076.9621200531,35587.082550036,29145.8220443659,30681.342224119,33379.202484135,31029.582183834,28709.042099002,29407.8221130405,32653.5523071218,30949.7922477725
"15:0 Campesteryl ester_simulated","CE",-0.186637320786787,8.46587785607026,0.428611593200458,0.512671005828436,0.999412099756005,102654.747070303,103971.407470686,113549.528137203,97148.626617418,98674.5273132319,101567.726867674,103766.867340097,105752.78686522,99475.466613776,104331.077323903,102440.477096556
"15:0 Cholesteryl ester","CE",-0.17470778838994,8.925180765731,0.375615204133283,0.53995929770696,0.999412099756005,143547.171081496,135488.169128364,157548.27105711,135883.309692343,136835.109313923,141926.230102522,134244.370056094,142978.609313969,143273.770446763,143116.730239828,138996.079696627
"15:1 Campesteryl ester_simulated","CE",-0.145736591664766,9.07554573694894,0.261421105022237,0.609145513430388,0.999412099756005,164579.652221667,154468.110839807,172628.352111798,154840.651306142,151779.050842297,154338.551208531,151974.390380853,159115.291076615,150584.730529793,161629.191619853,154301.820877074
"15:1 Cholesteryl ester","CE",-0.168077232658447,8.92284789205043,0.34766095258783,0.555440203889629,0.999412099756005,144126.130004827,139743.02899172,158214.63159175,129127.009399377,137287.830078116,143135.430114664,129763.449096626,140583.870056094,147187.01074215,142802.699996918,137692.644836375
"16:0 Campesteryl ester","CE",0.242671173342523,7.44309375030975,0.724177017826491,0.394777180176371,0.942335062118768,60419.064445507,75452.445678697,65386.58428954,50864.523696899,45519.74324035,45623.7033996609,50116.423706073,43666.2831878677,30724.042274474,63030.6545276608,46231.5383834879
"16:0 Cholesteryl ester","CE",-0.101134569985506,8.46987908647484,0.125915748765919,0.722704896221717,0.999412099756005,109977.907836927,101257.267456044,115914.788543715,104880.487609872,98301.067108149,101385.347290037,96287.266754141,103559.287536625,98626.167175296,108007.612861639,99883.242172238
"16:1 Cholesteryl ester","CE",-0.168223599507663,9.06583549626105,0.348269612201875,0.555094298804711,0.999412099756005,159288.730346664,151168.450195307,171059.912170367,152671.590393053,148930.430725081,159974.470947218,152784.890624936,153685.129882771,153770.59100341,158547.170776348,153843.730545002
"16:2 Campesteryl ester","CE",0.240507809714322,7.29539609470944,0.711317635156632,0.399006735713504,0.942335062118768,56734.3440704104,66320.764549245,58094.3641433775,44614.783081061,42178.7030181882,39247.1029739366,42972.523162842,40813.202804559,30235.0820312521,56441.0639610235,41302.8829898815
"16:2 Cholesteryl ester, zymosteryl palmitoleate","CE",-0.12762973656478,9.04692283540618,0.200516178384532,0.65430452392599,0.999412099756005,162530.611938453,156119.750793448,165028.790893506,152226.830932547,146616.750549325,158398.471130355,148574.270080572,147916.830566313,148593.190490703,158976.496139489,150376.580581641
"16:3 Campesteryl ester","CE",0.265882218245391,7.23668776954601,0.869097400893906,0.351205307446331,0.914773872740304,54241.5637893836,61801.424018859,60831.704437255,44223.5832138041,38862.002494804,38138.4628982363,41240.3226089488,39941.1228714067,27056.0619277973,55274.5688648254,39545.4777183489
"16:3 Cholesteryl ester","CE",-0.189868092172863,9.01486542235363,0.443585442610811,0.505396972268105,0.999412099756005,156813.511413591,142664.410400386,167674.89245605,143813.210815431,147817.131469672,155099.750427235,143196.010559065,152954.671264669,145633.890258792,152741.506271365,149766.89093016
"16:3 Stigmasteryl ester","CE",0.254048068320342,8.04010257780928,0.793650095088196,0.372998693972807,0.922698486378689,105712.386959085,115348.448177282,94426.365188586,80805.265716547,72245.525146486,67727.024673446,96368.0264282244,56401.063705429,27913.301979062,99073.116510375,73185.4099883963
"17:0 Campesteryl ester_simulated","CE",0.250410728797838,8.10710557797462,0.771120441491803,0.379870657831332,0.927677609744704,114101.008033739,121261.968162543,98994.8069458169,81759.1660079743,76957.4455566613,68932.784652701,102534.006576584,59378.184478764,28294.922080992,104029.237287518,76950.6053161776
"17:0 Cholesteryl ester","CE",0.30071123975721,7.46226734593311,1.11130960041783,0.291797447574291,0.86183277504069,63902.324584934,76619.7849960218,62641.7638702208,55310.604003902,45783.463562022,42772.482940685,49728.803592687,44745.022796619,31454.0822753917,64618.6193637696,45757.4432230032
"17:1 Campesteryl ester_simulated","CE",0.175821104102474,8.10793150525969,0.380394722975325,0.53739206298734,0.999412099756005,117984.16783902,115413.588249194,100769.426856991,74138.9854354796,73702.445449823,71588.4452361943,107013.747161909,63670.5843963899,29386.262054445,102076.542095171,78993.805561079
"17:1 Cholesteryl ester; 16:1 Campesteryl ester","CE",0.19763855275213,8.32022207527254,0.480585326987239,0.488157307124781,0.999412099756005,112561.788421624,135507.08963775,113310.928035753,91981.786689767,86538.8057022133,81973.0858154292,88005.606216431,86108.206214897,59276.8043746903,113340.398196223,85656.4259872426
