"lipid","type","logFC","logCPM","LR","PValue","FDR","I7-1","I7-2","I7-3","I7-4","I1-1","I1-2","I1-3","I1-4","blank","mean1","mean2"
"16:1 Cholesteryl ester","CE",0.24899245903498,9.04736801197466,0.887368842158139,0.346191324054529,0.870868328523949,156689.009948655,169038.652038526,152864.71063232,161189.990905746,159288.730346664,151168.450195307,171059.912170367,152671.590393053,153770.59100341,159945.590881312,158547.170776348
"16:2 Campesteryl ester","CE",0.181109114018081,7.42957174653933,0.469666800885989,0.493140495652848,0.923578164314647,49846.583229061,65181.9041747944,51142.4837112112,50902.7035217365,56734.3440704104,66320.764549245,58094.3641433775,44614.783081061,30235.0820312521,54268.4186592008,56441.0639610235
"16:2 Cholesteryl ester, zymosteryl palmitoleate","CE",0.211262168404139,9.02942116720131,0.639036233164916,0.424060006683676,0.893867659919409,155309.051757835,162135.89123535,147229.851135232,161905.312011715,162530.611938453,156119.750793448,165028.790893506,152226.830932547,148593.190490703,156645.026535033,158976.496139489
"16:3 Campesteryl ester","CE",0.212051682565611,7.39806036925895,0.643703239322576,0.422372973350063,0.893867659919409,52191.2835426355,59074.964462277,52360.903694155,52600.2239456233,54241.5637893836,61801.424018859,60831.704437255,44223.5832138041,27056.0619277973,54056.8439111727,55274.5688648254
"16:3 Cholesteryl ester","CE",0.24820760374264,8.98623663060068,0.881787073133637,0.347712681301523,0.870868328523949,151294.351196256,158840.390930189,147095.990600608,157051.89129639,156813.511413591,142664.410400386,167674.89245605,143813.210815431,145633.890258792,153570.656005861,152741.506271365
"16:3 Stigmasteryl ester","CE",0.0958525341509968,8.14608867349516,0.131634467239564,0.716743350511699,0.953304946665784,86431.4660034078,105767.447845397,83918.6862296988,84793.1859512473,105712.386959085,115348.448177282,94426.365188586,80805.265716547,27913.301979062,90227.6965074377,99073.116510375
"17:0 Campesteryl ester_simulated","CE",0.106054188775245,8.21682197406256,0.161140093869108,0.688109022090637,0.953304946665784,87833.3660659715,112347.30826566,86633.4453201272,94148.7865829479,114101.008033739,121261.968162543,98994.8069458169,81759.1660079743,28294.922080992,95240.7265586766,104029.237287518
"17:0 Cholesteryl ester","CE",0.178189806213174,7.62157298984643,0.454672866873807,0.500124197074225,0.923578164314647,57624.044227604,72009.1444931011,58944.744529731,61201.304519651,63902.324584934,76619.7849960218,62641.7638702208,55310.604003902,31454.0822753917,62444.8094425218,64618.6193637696
"17:1 Campesteryl ester_simulated","CE",0.127375223010159,8.19499713833131,0.232420105524852,0.629735134161418,0.953304946665784,86514.186080929,116594.088882464,87153.225593569,86641.3860092169,117984.16783902,115413.588249194,100769.426856991,74138.9854354796,29386.262054445,94225.7216415447,102076.542095171
"17:1 Cholesteryl ester; 16:1 Campesteryl ester","CE",0.247705418028453,8.46975984730419,0.878197790320939,0.348695765610852,0.870868328523949,108171.507591224,124713.008819562,112263.42755126,112848.948020927,112561.788421624,135507.08963775,113310.928035753,91981.786689767,59276.8043746903,114499.222995743,113340.398196223
"18:0 Campesteryl ester","CE",0.0490099914672032,8.94020885700326,0.0344207089347037,0.852814772371207,0.973172015704016,145632.451625783,180751.034309375,124302.507927,170759.351463371,211126.916961723,183389.912284887,159634.792449946,150310.389564614,40241.9626617484,155361.336331382,176115.502815293
"18:0 Cholesteryl ester, 16:0 Sitosteryl ester","CE",0.109755634873551,8.18146199121012,0.172581019714414,0.677828087241992,0.953304946665784,88611.606369033,109631.007911625,83531.0656433199,88991.185600288,115642.927627567,112526.587677012,103052.666938782,75637.005020152,29951.302062986,92691.2163810665,101714.796815878
"18:1 Campesteryl ester","CE",0.0786969899918001,8.64946277803269,0.0887411033384069,0.765783724021054,0.959935572743768,129214.748481782,147498.570308766,103981.208190894,127743.288330089,173028.711494442,143445.189033562,134610.888561304,116189.68917853,40539.0828094338,127109.453827883,141818.61956696
"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester","CE",0.0982775071767743,8.19861681281585,0.138378763145056,0.709898090090317,0.953304946665784,87492.8466339,114151.18654247,84536.2653656051,89933.8659362979,113743.628211979,124071.30840304,99970.8061294397,76258.084754954,26594.5220184331,94028.5411195683,103510.956874853
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester","CE",0.11997232455346,8.20114477272209,0.206196989148623,0.649764636099429,0.953304946665784,89342.8256607,109746.086967519,88727.5661010749,90969.7869415449,119104.908775338,113379.84751886,103165.986709606,76967.6651611283,27691.161857605,94696.5664177097,103154.602041233
"18:3 Campesteryl ester","CE",0.0732858223531006,8.02624559580076,0.0769532143010281,0.781469585231186,0.959935572743768,75052.5059432894,92030.166999829,70816.204544065,78802.3653106662,101527.367958062,88713.3062820384,89564.506534568,75533.5652694666,45968.263465879,79175.3106994624,88834.6865110338
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester","CE",0.133131944594609,8.15303479777833,0.253894351453255,0.614346195914195,0.953304946665784,84926.2256546085,108411.767463774,84353.9059600889,88025.325942994,111255.228950499,115946.367469827,93116.845726012,72594.8449859516,30225.782104484,91429.3062553663,98228.3217830724
"19:0 Campesteryl ester_simulated","CE",0.14479903704274,9.672523089463,0.300354877399513,0.583660030027892,0.953304946665784,244498.456237842,264961.980285617,219471.595947283,275375.442077631,292232.578369289,267107.49914525,264259.817016573,243484.936584544,160970.791625997,251076.868637093,266771.207778914
"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated","CE",0.0717975942966571,8.9553258804937,0.0738663500173971,0.785788380964979,0.959935572743768,151166.090682862,177142.553527836,125397.787841766,175747.63376629,214614.017402539,180691.452320049,158990.45166778,148581.111618018,46128.583267216,157363.516454689,175719.258252097
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine","AC",0.442660588488081,9.4853789508679,2.79717695913859,0.0944304383532571,0.539416874488244,230038.337158166,197566.034576403,149179.110717765,200881.454284617,70258.8653564389,200063.535667423,180941.51231382,204656.97436523,407937.02636723,194416.234184238,163980.221925728
"20:0 Campesteryl ester","CE",0.124590430324305,9.50853340109018,0.222390897679361,0.637224181859515,0.953304946665784,227138.816650312,229167.155029278,201155.034301697,229595.757751543,249209.577453702,234035.457031289,270909.438781616,210601.05371099,149035.790832473,221764.190933207,241188.881744399
"20:0 Cholesteryl ester, 18:0 Sitosteryl ester","CE",0.160978724371837,9.66702292959248,0.37119077828288,0.542355906396574,0.93753671117283,243065.317749116,268830.600891132,219662.67639158,270835.979308971,289650.02130125,267962.23791509,263578.839599542,233624.915893525,165516.872253359,250598.6435852,263704.003677352
"20:1 Campesteryl ester","CE",0.114419251838087,9.79534474332174,0.187573909041021,0.66494354932753,0.953304946665784,262024.458251943,295275.980346628,244822.577514528,298967.842712396,321201.423645062,291702.419555856,321672.102600017,267632.458679168,146458.690246584,275272.714706374,300552.101120026
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester","CE",0.182927544475612,9.67579807494589,0.479239939364561,0.488766794686878,0.923578164314647,252548.11804189,264608.218688906,217474.734313925,279346.459106447,284351.782470501,257800.119506643,271976.598632888,238207.556213204,169522.072387661,253494.382537792,263084.014205809
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester","CE",0.157102208761377,9.68140699103131,0.353537706228053,0.552117319786665,0.94567463125931,246768.157104423,277244.838806116,213747.71569823,273235.65917974,286020.8170774,265722.498535069,271268.638244555,243340.956970288,167682.072021442,252749.092697127,266588.227706828
"20:3 Campesteryl ester","CE",0.134928361827065,9.79855069562356,0.260817182648907,0.609559294495887,0.953304946665784,269030.220947388,298011.082763792,239207.896301308,299736.65978994,325776.562683012,301034.55883775,296389.581603932,261935.958495991,154949.0515747,276496.464950607,296284.165405171
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester","CE",0.147724071738231,9.64845708472378,0.312606469933002,0.576085138249553,0.953304946665784,239070.377929661,267926.719787752,205997.414245567,273165.060790945,283217.518127384,266101.51885978,258695.738830528,237185.897094732,162328.83123775,246539.893188481,261300.168228106
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester","CE",0.0971845685370784,9.41026111398872,0.135329761023058,0.712968727218671,0.953304946665784,202548.453369183,223744.974914486,180951.393310563,223483.29724116,258634.437927267,231474.075805778,215835.217163089,204826.033630347,124171.468688989,207682.029708848,227692.44113162
"20:5 Cholesteryl ester","CE",0.0817512973410438,8.73034955032414,0.0957626961744609,0.756975070448772,0.958436329143406,129084.387878448,145767.669769245,108991.226730345,156933.431114055,180973.393775842,149324.810218863,137760.527481022,131559.888885636,38769.242919928,135194.178873023,149904.655090341
"22:0 Campesteryl ester","CE",-0.702100477073518,6.92540666737136,6.993580934688,0.00818025347183586,0.107419644274897,23819.8418197704,31291.4021530146,25662.661693565,29627.6822433659,100663.484725999,32388.9419975195,57225.5433502118,29557.6219368017,19671.5613098115,27600.396977429,54958.898002633
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester","CE",-0.028514823548921,7.99387511296507,0.0116511855291037,0.914042765539008,0.983154945946513,80586.4653663693,90870.986171716,67839.2840347366,75081.7258987481,105063.008152049,99141.7662429998,108419.027671885,70112.9050636322,20333.5613670404,78594.6153678925,95684.1767826415
"22:0 Sitosteryl ester","CE",-0.715853421282814,7.35737209015052,7.26753126689187,0.00702122443317872,0.0986175672622015,24513.5218124355,29964.4422149791,26534.4818916418,31020.7220802306,102813.105255113,34207.5823516849,61990.324218769,27432.7821388121,102977.567970288,28008.2919998218,56610.9484910948
"22:1 Campesteryl ester","CE",-0.709289338734933,7.0561514542414,7.13636782499725,0.00755360022536435,0.101871527363698,28379.122032167,33869.0422935418,25587.0617675676,33492.522411354,108067.568252591,37475.5427856524,65224.0449638518,32117.5420456017,19981.7613830532,30331.9371261576,60721.1745119242
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester","CE",-0.0325201340883037,7.96949542284035,0.0151541097644667,0.902026303883757,0.980475255947593,79385.644622799,84233.046234121,67363.6850166288,78893.1855773966,103516.587631262,97747.4877738523,112205.848419142,66544.6247635017,18020.0013313376,77468.8903627363,95003.6371469395
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester","CE",-0.712109775115288,7.31832806541747,7.19245597333225,0.00732107094128625,0.100547185312895,25574.2618446269,28024.7219657932,27854.3820495485,30181.2222785884,100147.727542858,34348.4222030688,62389.3843078759,28061.1621170094,95104.1465606282,27908.6470346393,56236.674042703
"22:2 Campesteryl ester","CE",-0.484995868351914,7.39901980445418,3.35454952615191,0.0670195452452583,0.453974023674895,39931.4233551058,46142.5437622,40092.9829063431,44233.8236236561,111181.628391221,54423.3244094768,85132.9464339987,40742.5426139955,22464.4814453063,42600.1934118263,72870.110462173
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester","CE",-0.710753091338337,7.00630120382289,7.16535619289732,0.00743249308104922,0.101149474021188,23759.6218414384,30161.7821350064,29640.482028961,28415.0223274246,101843.088291144,33232.1823844991,62701.0645522955,28014.0420379519,29883.0822868281,27994.2270832076,56447.5943164726
"22:3 Campesteryl ester","CE",-0.107406342423569,7.95502286104695,0.165269609712141,0.684350536422795,0.953304946665784,75052.4244422827,80812.4653587312,67339.3450469909,73474.3457260168,107511.16838082,96384.5864562887,109685.747673044,68922.7451591541,21152.3614883465,74169.6451435054,95626.0619173267
"22:3 Stigmasteryl ester","CE",-0.748397951396456,6.89959076565604,7.93582795362045,0.00484654463744702,0.0788617100245455,23847.261802679,27507.8019981341,25466.9417762801,29513.7622223057,100687.186183927,31282.0826034566,62613.1841354202,26104.9219016905,19244.2213668779,26583.9419498497,55171.8437061236
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester","CE",0.164012508213856,9.61216182104977,0.385304737304068,0.534777814886561,0.933080951480312,226391.81677245,255393.159668,216785.495361298,256247.07751457,260163.98010259,254636.03930662,267379.47900383,223508.83483885,175881.51293943,238704.38732908,251422.083312973
"22:5 Cholesteryl ester","CE",0.152070810113921,9.5614388079788,0.331263895642678,0.564915806599507,0.951556750532596,221471.677063025,245729.495910555,210719.03485107,243124.817871045,258429.15869142,245058.717834515,269921.458618165,209089.83532709,165574.032165525,230261.256423924,245624.792617798
"22:6 Cholesteryl ester","CE",0.145465167304796,9.51595250889156,0.303121446595696,0.581932139283482,0.953304946665784,219621.697021411,231986.377075142,209800.21533205,230856.63574208,248971.176452669,234294.394531158,266146.85888683,207076.134338386,157780.2307739,223066.231292671,239122.141052261
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester","CE",-0.736249941363059,7.38394368098068,7.68311683337606,0.00557398140470271,0.084400660155506,24644.2418403628,31097.5820693792,25410.7418480056,30017.301876065,106544.428451445,34208.0423774717,61148.3245811501,26128.961906442,109107.007392883,27792.4669084531,57007.4393291272
"3-hydroxyarachidonoylcarnitine","AC",0.533991517376208,10.1043367202819,4.06343344682318,0.043821313747055,0.341837856074984,447554.671726377,316313.182373043,217802.45589832,312034.821433937,117594.887756411,318493.222385434,255824.978199026,323764.682006863,537639.18090807,323426.282857919,253919.442586933
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine","AC",0.549226943316931,9.9443248835067,4.29718384940497,0.0381755379017009,0.321060563139586,402551.747169509,287518.741172808,195093.773597622,282831.721153292,102241.586597435,280422.499290504,234250.515716567,291512.801288603,474301.83447266,291998.995773308,227106.850723277
"3-hydroxylinoleoylcarnitine,","AC",1.07408907247918,11.5321049045466,16.1658888474049,5.80297398158104e-05,0.00289568401680894,1774415.29278554,689057.76705551,666188.16455076,1375513.38720656,188787.573184996,936440.669052163,609773.723938021,690473.27093117,844522.93798837,1126293.65289959,606368.809276587
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine","AC",0.381550016664387,12.8629503472825,2.08040888705,0.149200204878181,0.646339593323577,3166148.22167925,2587370.39941398,1331140.61474627,1979121.1777337,607810.281738293,2362968.51104369,2329233.94959239,2651087.18652361,2669517.3808594,2265945.1033933,1987774.9822245
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine","AC",0.466587765592089,10.4335197941025,3.1065345539082,0.0779787123305237,0.496740988760825,565755.680923573,420864.192672774,253739.257770436,399622.425903403,140698.130477884,414627.268962812,366158.384441383,432749.688297276,612752.20458982,409995.389317547,338558.368044839
"C12:0","FFA",0.0599716334650047,9.81867905797571,0.0515403960598633,0.820404224663331,0.966215975958112,249775.796630847,259870.819335877,294793.021179276,242488.117553709,291853.559631452,310646.841613611,326323.683593639,259140.377868639,228653.815917935,261731.938674927,296991.115676835
"C12:1","FFA",-0.158822305210037,9.24142910252656,0.36130905148832,0.547780119183824,0.941832389456391,167471.991882312,168720.552520753,148679.570800737,154407.030578598,217118.514984104,225264.715667841,219507.756469788,179378.252593996,172270.611755347,159819.7864456,210317.309928932
"C14:0","FFA",0.118024977460256,11.1625183538972,0.199584982606211,0.655056044824093,0.953304946665784,606240.32214361,600037.06335442,767353.774291899,667935.50732413,655234.10485829,686969.67150885,866654.18933095,681405.20874031,684010.945434429,660391.666778515,722565.7936096
"C14:1","FFA",0.210255295231075,12.7809749703914,0.633019656685065,0.426249842670278,0.893867659919409,1713194.17724615,1662402.89990268,2319325.50683678,2419711.39746053,1695492.89746095,2053284.57324213,2455868.53759776,2078974.4604492,2462172.03027346,2028658.49536153,2070905.11718751
"C15:0","FFA",0.110594093988669,11.4659056893558,0.17525085600937,0.675486753939458,0.953304946665784,672536.64410397,553475.796813889,925159.742248475,974350.61035112,697538.713073574,859921.244323811,1186349.28503364,737130.193176327,1037131.98553458,781380.698379364,870234.858901838
"C15:1","FFA",0.188175182154442,13.7048800212335,0.507137548993342,0.476380621580498,0.923578164314647,2250341.68109086,1943720.93157967,5044550.3507076,5266280.86718694,1999258.20611573,3975782.73327682,5968003.44207758,3457139.5902714,5798989.87133842,3626223.45764127,3850045.99293538
"C16:0","FFA",-0.338252572916196,13.0234895381565,1.63605523473052,0.20086756597386,0.71255627076509,2302197.63354437,2266315.38867175,1893444.49316342,2152547.81701607,4992006.20165966,2670068.24584955,3798167.80358832,1807677.61096202,1658887.12414595,2153626.3330989,3316979.96551489
"C16:1","FFA",0.127932896921045,10.1901144972491,0.234485091283204,0.628217960029347,0.953304946665784,357199.967407317,372668.526428116,329255.843505923,353493.664703278,285196.440246644,345042.684875495,578708.362915039,351374.981445262,256668.236541742,353154.500511158,390080.61737061
"C17:0","FFA",0.0899662091483418,11.5642852590589,0.115982448827708,0.733433370477365,0.954353345616202,753792.267913724,754979.432250975,1507303.14340252,639343.729522713,1306680.75762891,1024156.33142092,1135133.73693946,673111.868408166,580239.081573604,913854.643272483,1034770.67359936
"C17:1","FFA",-0.366605583176034,9.97833608910269,1.92098091419211,0.165748565290725,0.659908516596317,284550.780212233,264345.000427133,234501.256958008,243619.41729734,409976.829101491,465585.172668422,453994.6916504,253109.758422872,210575.035400387,256754.113723679,395666.612960796
"C18:0","FFA",-0.758585782414429,14.0039510388931,8.15413464908488,0.0042963095616326,0.0722648922894832,4272570.65411324,3981065.85388229,3126377.3355709,3547349.40515096,10351704.1907959,8246766.48950137,9182204.88037096,3038765.95581005,1931936.90765323,3731840.81217935,7704860.37911957
"C18:1","FFA",-1.30263598603813,10.819236925734,23.5351271015224,1.22653872068524e-06,0.000102007136936989,354078.566101109,322377.144225987,296048.720886251,290674.520172166,829506.612000028,872370.171265097,2054728.58135985,268818.760070815,242485.836548,315794.737846378,1006356.03117395
"C18:2","FFA",-0.43545404124483,10.5215266127344,2.70732346107252,0.0998884579643155,0.548525086747309,403537.269806077,321250.382965113,314010.139221049,505030.797943089,881893.812469951,682362.238098242,756265.375580241,232781.496704101,142099.010253917,385957.147483832,638325.730713134
"C18:3","FFA",-0.777665353495822,10.0071959835258,8.56419321107114,0.00342838867918397,0.0603799747380989,229847.876098593,275994.07916274,199184.13504028,208152.915130616,648841.135620081,522441.495117035,277362.700439318,362375.204101679,150064.830993632,228294.751358057,452755.133819528
