"lipid","type","logFC","logCPM","LR","PValue","FDR","I7-1","I7-2","I7-3","I7-4","I1-1","I1-2","I1-3","I1-4","blank","mean1","mean2"
"(11Z)-eicoseneoylcarnitine","AC",0.385931195176194,10.3505471248226,2.12824357387944,0.144606373663181,0.643084304144253,509614.415119237,412033.666877779,245469.798660257,346312.083251982,121722.808101676,405228.228374503,362328.726661684,431251.89138031,575645.06298823,378357.490977314,330132.913629543
"(11Z,14Z)-eicosadienoylcarnitine","AC",0.39864052814864,10.3467375986058,2.27027396696212,0.131876587679142,0.629161696511212,483587.254177128,415460.708889062,246664.236053461,365016.186706489,124860.968509664,409980.531902346,361519.124141677,413454.050926197,579625.20288088,377682.096456535,327453.668869971
"(13Z,16Z)-docosadienoylcarnitine","AC",0.671648797148888,9.67751649708749,6.40740716967662,0.0113645246907053,0.136101547695887,249131.896640827,208039.634777113,223064.475482847,355666.383972012,98370.267021175,256399.576591406,185143.913372039,205804.533451067,348390.385254,258975.5977182,186429.572608922
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","AC",0.490912609457515,9.64594307115101,3.43717812347495,0.0637444799284508,0.433752211149504,243878.577606223,209590.614074733,172638.952087432,243280.618621875,85905.865692134,220859.554023817,194646.913742041,210135.415405272,472021.60058606,217347.190597566,177886.937215816
"(5Z,8Z)-tetradecadienoylcarnitine","AC",0.403105199833678,9.59364120639213,2.32116234312343,0.127624628353997,0.621142872231694,261732.0989075,219389.574707011,138687.190147383,190586.533325196,76254.045578,215767.21539306,196037.013690899,215026.11437987,466295.71301268,202598.849271772,175771.097260457
"(7Z,10Z)-hexadecadienoylcarnitine","AC",0.534614311003961,9.60689476897442,4.07278015680185,0.0435794921121195,0.341837856074984,241721.537872247,214942.195129378,188344.293090821,276321.842559669,75710.0255432,249357.499111258,190634.292999306,212238.194457988,371385.42468267,230332.467163029,181985.003027938
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine","AC",0.436363411824164,9.81650195829988,2.71851147712459,0.0991904770831092,0.548525086747309,313522.442890166,282161.500431097,173283.572605098,251303.837039865,102241.986503577,249733.015708942,232688.077564212,277865.699077611,453121.77490233,255067.838241556,215632.194713585
"(9Z)-3-hydroxyoctadecenoylcarnitine","AC",0.981247900649482,11.6571830293419,13.5413620395411,0.000233362977268736,0.00944173991814318,1791770.12689197,791880.43087384,679519.95300287,1525087.14038089,204681.073474909,1049157.57302092,700370.927825876,795978.65618518,945699.606445531,1197064.41278739,687547.057626721
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","AC",1.28763305498012,10.1321581129613,23.012302197254,1.60968043877061e-06,0.00012535887431747,738482.323334227,255578.85791023,252900.938964822,488743.199432443,83279.4455566324,253270.078273748,223517.396175418,251727.23687741,378433.16699213,433926.32991043,202948.539220802
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","AC",1.11679629565935,11.5708866666895,17.4459426594367,2.95594519641362e-05,0.00163890739223377,1830531.61438048,721333.1921387,677213.44860845,1451680.9140626,204163.875839183,930290.564456965,622964.084068361,693418.22949229,857056.56250038,1170189.79229756,612709.1884642
"1-O-behenoyl-Cer(d18:1/16:0)","CER",0.155594626324809,5.41282652963161,0.346425012868963,0.556143853601289,0.947811992430179,12007.2009429932,6989.2005043023,15214.6211242736,16922.3413658107,12099.660926819,11017.9607467632,22836.3618469221,10628.7607498177,10514.2607498159,12783.3409843449,14145.6860675805
"1-O-carboceroyl-Cer(d18:1/16:0)","CER",0.538217475554019,5.26248537740294,4.12255552198133,0.0423151122766959,0.341837856074984,9339.5006904631,7744.1205368037,14850.6810874916,18992.4814682005,9127.8206710839,9738.860740662,11557.0407791098,10850.7208213812,10562.8406944265,12731.6959457397,10318.6107530592
"1-O-carboceroyl-Cer(d18:1/18:0)","CER",0.151685140633579,4.93247230024447,0.329079585199374,0.566201564916716,0.951556750532596,7336.0204887361,6791.9203948963,10479.2807464576,10513.7407608025,9727.06070327361,8125.4805946293,15211.6809921385,6071.2204589829,9775.20070648359,8780.24059772312,9783.86068725608
"1-O-cerotoyl-Cer(d18:1/16:0)","CER",0.0402052681961705,6.5677127932676,0.0231543879824017,0.879056278131639,0.975614587570085,11996.1608047486,16504.7610053986,37954.4032478287,36263.1622505238,28479.7823410103,27218.2617110997,50895.1627655434,18058.2612380977,33642.1421279963,25679.6218271249,31162.8670139378
"1-O-cerotoyl-Cer(d18:1/18:0)","CER",0.131628582519749,7.06515443929037,0.248140945362366,0.618387147521262,0.953304946665784,14801.6210441651,21908.5617256108,57764.2845038717,54192.8830222384,41071.3424301188,24103.7621040352,77805.765300736,28840.1825255866,48675.1836280789,37166.8375739715,42955.2630901192
"1-O-eicosanoyl-Cer(d18:1/16:0)","CER",0.308067591142598,5.47133952106338,1.35614385155927,0.244206905357209,0.781778275012736,11188.1207962005,9585.8005905123,17042.6613731392,17010.7211418189,12931.2608985915,13269.3609199511,17776.101238252,9636.9807968127,12446.6808738727,13706.8259754177,13403.4259634018
"1-O-lignoceroyl-Cer(d18:1/16:0)","CER",-0.527545350653097,5.76437665692444,3.96331164578817,0.0465021334108492,0.351584311697178,10087.3806610096,7605.1004600491,15913.4411811867,18605.7614631748,10217.7007484422,10516.540802005,69500.2444916812,11288.100803376,10372.9807930017,13052.920941355,25380.6467113761
"1-O-myristoyl-Cer(d18:1/16:0)","CER",0.127566750382509,6.08104976086405,0.232987460497291,0.629317465087145,0.953304946665784,13892.8609962496,11167.9207954436,26615.3018722601,27128.8020439198,20687.5016403295,20519.8212814341,28659.2220115598,17261.981250757,19107.1813850401,19701.2214269683,21782.1315460201
"1-O-palmitoyl-Cer(d18:1/16:0)","CER",-0.0397588095031203,5.71247999564942,0.0226340952515045,0.880412498897139,0.975614587570085,13664.7209854073,8023.66056060579,17555.7011833165,18903.321243292,19379.5413169775,17056.2811660823,22279.0015830999,13316.0409698477,14159.8610916157,14536.8509931554,18007.7162590018
"1-O-stearoyl-Cer(d18:1/16:0)","CER",0.203906919242306,5.58319981734973,0.594793674972152,0.440571398167779,0.902237186124713,9901.620716097,8859.4806442216,16265.1811409028,21217.3814582733,16401.1410903906,12669.5808105496,18358.3013191279,11523.4208183263,15060.661079403,14060.9159898737,14738.1110095986
"1-O-tricosanoyl-Cer(d18:1/16:0)","CER",0.300264763915877,5.41696697903216,1.28839695138026,0.256343582376081,0.789601528430027,11035.6807365445,8505.5005607672,15938.7411155764,17578.8012466455,11461.4807891868,10835.7207756,19274.0611839214,10866.8407402005,11440.0408020018,13264.6809148834,13109.5258722272
"1-O-tricosanoyl-Cer(d18:1/18:0)","CER",0.00143805744757585,4.52920915438333,2.95755019692479e-05,0.995660856799631,0.998328400957165,6316.3204154956,4838.7203483581,6624.16046524171,7333.6205406197,6462.9204216017,5974.040420531,12781.7008056667,5750.5204086321,7659.3405990601,6278.20544242878,7742.29551410787
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine","AC",0.496594147336404,11.0772549149813,3.51698532468549,0.0607428404326279,0.426910948956075,824615.757995647,668977.569850879,420231.092529319,771985.63671879,187050.713386481,717919.154910915,594604.320075992,673631.408206907,815895.59716777,671452.514273659,543301.399145074
"12:0 Cholesteryl ester","CE",0.272504297335492,8.08282522678452,1.06251477500746,0.302642323126797,0.831615958978247,72044.745071415,128041.708557127,67649.004875171,70198.785125734,76659.36531067,73826.605201702,79545.085784903,94507.726646442,67651.7247238085,84483.5609073618,81134.6957359292
"14:0 Cholesteryl ester","CE",0.131767417774453,6.63665579715641,0.248634003279989,0.61803856423012,0.953304946665784,28080.3020477253,30735.3821907058,26318.081794743,30274.8221817,32926.602211003,28960.322166443,33669.2824745216,28888.1020736677,29595.7021408086,28852.1470537185,31111.0772314088
"14:1 Cholesteryl ester","CE",0.105364405819765,6.6799436266594,0.158999063301849,0.690079731423693,0.953304946665784,30341.9220657349,31499.5021514937,27451.981773377,29320.202056887,35804.342514032,30076.9621200531,35587.082550036,29145.8220443659,29407.8221130405,29653.4020118731,32653.5523071218
"15:0 Campesteryl ester_simulated","CE",0.239005206964012,8.43443537194574,0.817650209924636,0.365868086157813,0.879140489531696,104661.327270519,110655.207946791,100622.606872546,101825.486816395,102654.747070303,103971.407470686,113549.528137203,97148.626617418,99475.466613776,104441.157226563,104331.077323903
"15:0 Cholesteryl ester","CE",0.238414948512799,8.89869867696759,0.813652338639258,0.367042634147083,0.879140517309093,136499.289428698,146665.790466314,136309.729370108,152572.831176721,143547.171081496,135488.169128364,157548.27105711,135883.309692343,143273.770446763,143011.91011046,143116.730239828
"15:1 Campesteryl ester_simulated","CE",0.233782510224038,9.06036959731692,0.782384167592681,0.376412967004866,0.889347863566515,156566.831115697,169573.591918918,151875.450256306,167534.95153806,164579.652221667,154468.110839807,172628.352111798,154840.651306142,150584.730529793,161387.706207245,161629.191619853
"15:1 Cholesteryl ester","CE",0.209460322006766,8.88593834436222,0.628184647074818,0.428021980125913,0.893867659919409,137327.109680119,140523.329956006,136450.589477578,144053.630187964,144126.130004827,139743.02899172,158214.63159175,129127.009399377,147187.01074215,139588.664825417,142802.699996918
"16:0 Campesteryl ester","CE",0.131213124237624,7.55550577828414,0.246609278779033,0.619472773168873,0.953304946665784,56348.804260247,65114.144256576,55794.223663327,57288.0840988075,60419.064445507,75452.445678697,65386.58428954,50864.523696899,30724.042274474,58636.3140697394,63030.6545276608
"16:0 Cholesteryl ester","CE",0.192547690537027,8.45568989245588,0.530889940400357,0.466232950229197,0.922315950837162,103650.666931143,109324.107299768,97545.387207019,108745.80755614,109977.907836927,101257.267456044,115914.788543715,104880.487609872,98626.167175296,104816.492248518,108007.612861639
