"lipid","type","logFC","logCPM","LR","PValue","FDR","SolventBlank","5A","5C","5D","5E","4A","4C","4D","4E","mean1","mean2"
"16:3 Campesteryl ester","CE",-0.0593974697825971,6.7171683166907,0.0345988777632549,0.852438694937316,0.999955892769757,69999.244842529,100740.627075206,107455.128356915,93546.046417233,89473.1660766729,93858.066497794,99018.42675781,126862.009429934,94274.626556373,103503.282310478,97803.7419815067
"16:3 Cholesteryl ester","CE",0.00567858587481762,6.67629812206138,0.00031625341534891,0.985811555590752,0.999955892769757,83371.0660400449,101155.087768574,93099.446533205,88273.286621087,94285.486968967,102603.426910395,96757.8668212801,93896.906799319,91931.3465576149,96297.3867721523,94203.3269729583
"16:3 Stigmasteryl ester","CE",-0.0540275112764281,8.8777271503031,0.0286283367695432,0.865640034592307,0.999955892769757,74764.205169651,675196.040893661,529202.772155645,431781.150451598,393499.805389519,488097.719207783,480660.877227752,453155.150726354,436384.507019126,464574.563545254,507419.942222606
"17:0 Campesteryl ester_simulated","CE",-0.0412045438997482,8.82422700407599,0.0166520112197759,0.89732388363735,0.999955892769757,63329.44442749,676324.340637095,512062.776275734,414526.471557762,394659.771759082,470199.334853995,456959.792999258,427398.393737692,404033.58666975,439647.777065174,499393.340057418
"17:0 Cholesteryl ester","CE",-0.052980952686632,7.12961683977148,0.0275285474203883,0.868222039924032,0.999955892769757,75968.505310066,149945.810760549,157885.311431871,118272.008148189,114789.468505853,131778.130065898,136037.829528797,162422.05136114,122451.109527579,138172.280120854,135223.149711615
"17:1 Campesteryl ester_simulated","CE",-0.0138226178669085,8.83515234697391,0.00187400239610724,0.965470562422098,0.999955892769757,61279.0842742809,686345.412353402,528451.458526545,415612.82470708,387067.846008301,475552.351532022,458073.533386153,420567.389312766,416366.751159562,442640.006347626,504369.385398832
"17:1 Cholesteryl ester; 16:1 Campesteryl ester","CE",-0.0785739167730367,7.79505696779504,0.0605457250454718,0.80563546975025,0.999955892769757,141119.030303972,210726.955322277,236676.297485372,194657.673278808,184529.992767333,199270.434082032,219537.856475832,268683.018493658,195199.053771948,220672.590705868,206647.729713448
"18:0 Campesteryl ester","CE",-0.00945640505222149,8.6338837077589,0.000877083501109155,0.976373627301207,0.999955892769757,66081.044830315,594107.185150238,460454.211181544,354038.502349746,350426.684112511,419427.791473421,404880.209289353,340061.804687542,355060.264373635,379857.517455988,439756.64569851
"18:0 Cholesteryl ester, 16:0 Sitosteryl ester","CE",-0.0608661291657584,8.82983078074363,0.036333766595817,0.848827877846465,0.999955892769757,62574.26446533,672716.23568739,513422.395355384,408386.968871953,388133.368103114,474892.569915766,453560.732391294,446955.010345591,414691.730835083,447525.010871933,495664.74200446
"18:1 Campesteryl ester","CE",0.0196518600124898,8.82515271030947,0.00378787148292759,0.950924631060805,0.999955892769757,67195.404510497,690632.945739681,517733.954681381,425166.627502458,392847.488616879,462037.049682822,466307.65801995,391095.946746947,406995.745300064,431609.099937446,506595.2541351
