"lipid","type","logFC","logCPM","LR","PValue","FDR","4A","4B","4C","4D","4E","1A","1B","1C","1D","1E","blank","mean1","mean2"
"(11Z)-eicoseneoylcarnitine","AC",0.0196202618569552,10.7658918694188,0.0163661692477035,0.898204108649368,0.999597878815842,1525389.5048827,1482672.1582031,1796938.02832011,1707217.5624997,1607204.3359372,1515292.6640625,1573934.1445317,1402611.7988285,1377123.1171876,1785859.4355467,1352628.2929686,1530964.2320314,1623884.31796856
"(11Z,14Z)-eicosadienoylcarnitine","AC",0.0157406913258033,10.701608847794,0.0105338168864364,0.918253152029763,0.999597878815842,1422880.0771483,1436430.9082033,1710144.9414064,1615061.2763675,1560882.4472655,1415584.3466795,1489607.0048826,1329618.8095701,1299207.7363278,1791960.7080076,1308280.3896489,1465195.72109352,1549079.9300782
"(13Z,16Z)-docosadienoylcarnitine","AC",-0.0366749543568987,10.6299848620124,0.0571830664375739,0.811004926512673,0.999597878815842,1306103.08715887,1337071.85888695,1619934.8168938,1615231.51025277,1440953.40429735,1364655.94091852,1570333.77660994,1198649.03198261,1211522.96557648,1832992.8366701,1116669.43969706,1435630.91035153,1463858.93549795
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","AC",-0.49311095766963,10.8005463941321,10.2879255348962,0.00133903546070622,0.0501134021169304,1377068.78613237,1670145.86865242,1469560.45898391,1294155.56933548,1335218.18505875,2311752.88818369,1673189.42285148,1684791.85644539,2445071.60693355,1470201.3261718,766595.77685567,1917001.42011718,1429229.77363259
"(5Z,8Z)-tetradecadienoylcarnitine","AC",0.0261331514504884,10.0550446900192,0.0290343650376599,0.864699714022772,0.999597878815842,933477.18603517,899034.62255867,990120.048339801,1233599.07763663,935166.10107417,917726.88720734,970880.6347658,929729.47021499,849975.49804691,1010588.38916012,801963.05908214,935780.175879032,998279.407128888
"(7Z,10Z)-hexadecadienoylcarnitine","AC",0.00574705921064041,9.71466380251819,0.00140417615693877,0.970108395284864,0.999597878815842,743930.45410157,763236.85791025,806517.31591817,857187.72460954,736947.83349611,730034.13134782,740371.23583979,707458.14892584,677937.1479493,865534.51953109,635406.78515624,744267.036718768,781564.037207128
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine","AC",0.00453835666810153,10.6806646293213,0.000875664060004056,0.976392747503774,0.999597878815842,1337271.93701181,1302859.59228519,1783912.79833998,1624262.71533278,1616974.98388632,1445191.42724604,1727137.56469754,1254025.08789059,1214048.88623068,1659649.07714795,1202994.58715867,1460010.40864256,1533056.40537122
"(9Z)-3-hydroxyoctadecenoylcarnitine","AC",0.0413565605707871,11.6524565378137,0.0727142193936743,0.787425112019195,0.999597878815842,3333708.6523439,3724358.9003909,2799328.2167962,2864614.3554688,2718563.8623048,3116678.3515617,3587276.6855478,2726974.3466801,2170442.7666016,2813709.8691416,1854346.1132807,2883016.40390656,3088114.79746092
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","AC",0.102561031887722,10.4850770536071,0.447107888170649,0.503711581499894,0.999597878815842,1398446.95751953,1562689.15136765,1247168.54345724,1433158.93066398,1387624.48339793,1334541.55175809,1613700.99853532,1173751.05371102,943186.32177735,1217417.12255863,822958.77978509,1256519.40966808,1405817.61328127
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","AC",0.0473300359241624,11.4691803236575,0.0952355056651868,0.757623915628415,0.999597878815842,2935261.6718749,3308404.4560548,2388136.2587892,2570634.0312489,2473349.7617179,2719564.7382816,3204048.632814,2435860.5322257,1895036.3115234,2465216.1318358,1546114.0898432,2543945.2693361,2735157.23593714
