"lipid","type","logFC","logCPM","LR","PValue","FDR","I7-1","I7-2","I7-3","I7-4","S7-1","S7-2","S7-3","S7-4","Blank","mean1","mean2"
"15:0 Cholesteryl ester","CE",0.0322219397177586,9.03313558866568,0.0234190990299794,0.878372251702842,0.999799278063257,136499.289428698,146665.790466314,136309.729370108,152572.831176721,139713.289672817,142571.049865738,147889.090209928,149776.530883786,143273.770446763,143011.91011046,144987.490158067
"15:1 Campesteryl ester_simulated","CE",0.0393716205425114,9.18967028322502,0.0349652628051444,0.851668467833215,0.999799278063257,156566.831115697,169573.591918918,151875.450256306,167534.95153806,157619.851196277,163917.571838381,163658.571777348,166214.131896924,150584.730529793,161387.706207245,162852.531677233
"15:1 Cholesteryl ester","CE",0.00433774068169211,9.02042844567626,0.000424425818891905,0.983563466129439,0.999799278063257,137327.109680119,140523.329956006,136450.589477578,144053.630187964,134162.369506817,145253.210571268,144652.851196262,153388.431884709,147187.01074215,139588.664825417,144364.215789764
"16:0 Campesteryl ester","CE",0.0285250862860463,7.64502054924513,0.0183494140370755,0.892248180967067,0.999799278063257,56348.804260247,65114.144256576,55794.223663327,57288.0840988075,63161.2041015516,65855.165054327,56082.884086613,53842.723655709,30724.042274474,58636.3140697394,59735.4942245501
"16:0 Cholesteryl ester","CE",0.0337066665369774,8.57090209879378,0.02562548209292,0.872818361530121,0.999799278063257,103650.666931143,109324.107299768,97545.387207019,108745.80755614,104361.907318122,109997.947875975,99432.2072143489,111438.627593983,98626.167175296,104816.492248518,106307.672500607
"16:1 Cholesteryl ester","CE",0.0306688985005102,9.18604038604689,0.0212163909100127,0.884191004975302,0.999799278063257,156689.009948655,169038.652038526,152864.71063232,161189.990905746,154672.210266045,166125.93066408,160829.371337869,168109.052062998,153770.59100341,159945.590881312,162434.141082748
"16:2 Campesteryl ester","CE",0.0480455833202929,7.53151973628973,0.052053199268812,0.819528307188953,0.999799278063257,49846.583229061,65181.9041747944,51142.4837112112,50902.7035217365,58726.384536726,62978.764572143,45742.742919922,51131.243469231,30235.0820312521,54268.4186592008,54644.7838745055
"16:2 Cholesteryl ester, zymosteryl palmitoleate","CE",0.0327935559110534,9.1525243303995,0.0242576997261494,0.876231001764315,0.999799278063257,155309.051757835,162135.89123535,147229.851135232,161905.312011715,151307.870544413,158952.191589347,159481.291137683,165299.231323224,148593.190490703,156645.026535033,158760.146148667
"16:3 Campesteryl ester","CE",0.0505614060033475,7.5125310777847,0.0576468516868403,0.810254604153617,0.999799278063257,52191.2835426355,59074.964462277,52360.903694155,52600.2239456233,60069.9845352132,60037.48464202,48188.003608715,48734.6636810206,27056.0619277973,54056.8439111727,54257.5341167422
"16:3 Cholesteryl ester","CE",0.0258872432400543,9.12685293626242,0.015116338463713,0.902147863995921,0.999799278063257,151294.351196256,158840.390930189,147095.990600608,157051.89129639,152834.910522451,156840.950256349,152020.771118178,164036.851135276,145633.890258792,153570.656005861,156433.370758064
"16:3 Stigmasteryl ester","CE",0.0784621692984486,8.19440336174548,0.138835453397633,0.709441484665058,0.999799278063257,86431.4660034078,105767.447845397,83918.6862296988,84793.1859512473,95185.0874595554,103324.086845466,76102.385742161,81165.8656158416,27913.301979062,90227.6965074377,88944.356415756
"17:0 Campesteryl ester_simulated","CE",0.0859546918740911,8.26674914519553,0.166614928432864,0.683137918920508,0.999799278063257,87833.3660659715,112347.30826566,86633.4453201272,94148.7865829479,98807.4268417342,109586.347724944,83271.0458221417,82106.0659637387,28294.922080992,95240.7265586766,93442.7215881397
"17:0 Cholesteryl ester","CE",0.103113965253674,7.69789782339212,0.239731121966315,0.624400380103309,0.999799278063257,57624.044227604,72009.1444931011,58944.744529731,61201.304519651,67445.3447341936,70731.2254943836,48607.9833908093,55530.723556516,31454.0822753917,62444.8094425218,60578.8192939756
"17:1 Campesteryl ester_simulated","CE",0.0766590449858563,8.25826776416057,0.132529906636591,0.715823232487,0.999799278063257,86514.186080929,116594.088882464,87153.225593569,86641.3860092169,103274.728584354,110233.207786633,74836.3250617848,83957.9862747138,29386.262054445,94225.7216415447,93075.5619268714
"17:1 Cholesteryl ester; 16:1 Campesteryl ester","CE",0.13092299509403,8.56374387827796,0.386490191623579,0.534150099861009,0.999799278063257,108171.507591224,124713.008819562,112263.42755126,112848.948020927,119975.488037098,124874.669666307,93384.906494129,97241.867172239,59276.8043746903,114499.222995743,108869.232842443
"18:0 Campesteryl ester","CE",-0.0298232590058494,9.01920228138032,0.0200625148381732,0.887362626550771,0.999799278063257,145632.451625783,180751.034309375,124302.507927,170759.351463371,161971.790679903,186104.070010954,142585.811553888,169944.933502276,40241.9626617484,155361.336331382,165151.651436755
"18:0 Cholesteryl ester, 16:0 Sitosteryl ester","CE",0.0255612841124392,8.26114462488215,0.0147366193522203,0.903378590246523,0.999799278063257,88611.606369033,109631.007911625,83531.0656433199,88991.185600288,99536.207145633,110319.287765497,85611.645423881,83563.8260650542,29951.302062986,92691.2163810665,94757.7416000163
"18:1 Campesteryl ester","CE",-0.0273822724584884,8.74047920534746,0.0169122427778348,0.896529179207715,0.999799278063257,129214.748481782,147498.570308766,103981.208190894,127743.288330089,137526.709770156,150440.129997303,120625.187515195,129962.368370073,40539.0828094338,127109.453827883,134638.598913182
"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester","CE",0.0490843915484601,8.26154541546143,0.0543381530351965,0.815679519293722,0.999799278063257,87492.8466339,114151.18654247,84536.2653656051,89933.8659362979,102214.408027619,114547.868675227,76341.1658630299,85923.5668029864,26594.5220184331,94028.5411195683,94756.7523422156
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester","CE",0.0534165018071194,8.27225564699397,0.0643525132838931,0.799744353584707,0.999799278063257,89342.8256607,109746.086967519,88727.5661010749,90969.7869415449,101666.207473755,104918.9480057,84830.7857971221,87978.6261138741,27691.161857605,94696.5664177097,94848.6418476128
"18:3 Campesteryl ester","CE",0.0291546656643282,8.09033225238872,0.0191702791630632,0.889879427307291,0.999799278063257,75052.5059432894,92030.166999829,70816.204544065,78802.3653106662,81005.7459869241,93439.887558,71651.084754931,77039.705299368,45968.263465879,79175.3106994624,80784.1058998058
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester","CE",0.0641923130435498,8.22541902793813,0.0929320474201631,0.760482241080405,0.999799278063257,84926.2256546085,108411.767463774,84353.9059600889,88025.325942994,100191.866920481,104241.14695744,78738.685142508,80800.8857803393,30225.782104484,91429.3062553663,90993.1462001921
"19:0 Campesteryl ester_simulated","CE",0.0246101207099957,9.77159964474831,0.0136624438582942,0.906950030235314,0.999799278063257,244498.456237842,264961.980285617,219471.595947283,275375.442077631,248332.238281134,263630.898620596,246147.87725825,266886.838867148,160970.791625997,251076.868637093,256249.463256782
"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated","CE",0.0216555809971891,9.0208949033017,0.0105783564069952,0.91808111887693,0.999799278063257,151166.090682862,177142.553527836,125397.787841766,175747.63376629,162514.709915249,176687.692871133,135904.448791467,170160.073524357,46128.583267216,157363.516454689,161316.731275551
